locus_key	qname	true_source	predicted_detail	chrom	fragment_start_1based	fragment_end	read_start_1based	read_end	cigar	template_length	mapq	is_reverse	mate_is_reverse	nh	nm	as	zf	zw	zc	zs	zl	zt	zg	zr	target_label
chr3:14380	A00839:75:H7MFFDSXY:3:2358:28456:2519	gdna	nrna	chr3	52451133	52451579	52451430	52451579	150M	-447	255	True	False	1	0	298	25	1.0	ambig_same_strand	spliced_implicit	14380	RIGEL_NRNA_chr3_2_52451099_52454041	RIGEL_NRNA_chr3_2_52451099_52454041		nRNA chr3:52,451,099-52,454,041(-)
chr19:10437	A00839:75:H7MFFDSXY:3:2571:21260:24064	gdna	nrna	chr19	2345068	2345502	2345068	2345217	150M	435	0	False	True	40	1	265	25	1.0	multimapper	unspliced	10437	RIGEL_NRNA_chr19_1_24033400_24129968	RIGEL_NRNA_chr19_1_24033400_24129968		nRNA chr19:24,033,400-24,129,968(+)
chr9:20993	A00839:75:H7MFFDSXY:3:2418:20880:1454	gdna	nrna	chr9	134317379	134317685	134317379	134317554	136M26N14M	307	255	False	True	1	0	290	25	1.0	ambig_same_strand	spliced_unannot	20993	RIGEL_NRNA_chr9_1_134317097_134406394	RIGEL_NRNA_chr9_1_134317097_134406394		nRNA chr9:134,317,097-134,406,394(+)
chr7:18474	A00839:75:H7MFFDSXY:3:1627:12292:24940	gdna	nrna	chr7	128837346	128837784	128837635	128837784	150M	-439	255	True	False	1	0	294	25	1.0	ambig_same_strand	spliced_implicit	18474	RIGEL_NRNA_chr7_1_128830405_128859274	RIGEL_NRNA_chr7_1_128830405_128859274		nRNA chr7:128,830,405-128,859,274(+)
chrX:21285	A00839:75:H7MFFDSXY:3:1405:4643:18239	gdna	mrna	chrX	41342042	41342822	41342673	41342822	150M	-781	255	True	False	1	0	300	3	1.0	unambig	spliced_annot	21285	ENST00000615742.4	ENSG00000215301.11	DDX3X	mRNA DDX3X ENST00000615742.4
chr20:13144	A00839:75:H7MFFDSXY:3:1550:11704:5102	gdna	nrna	chr20	63542163	63542607	63542163	63542312	150M	445	255	False	True	1	1	228	25	1.0	ambig_same_strand	spliced_implicit	13144	RIGEL_NRNA_chr20_2_63538488_63547749	RIGEL_NRNA_chr20_2_63538488_63547749		nRNA chr20:63,538,488-63,547,749(-)
chr1:1421	A00839:75:H7MFFDSXY:3:2475:1199:2879	gdna	nrna	chr1	156585632	156586213	156585632	156585781	150M	582	255	False	True	1	0	298	25	1.0	ambig_same_strand	spliced_implicit	1421	RIGEL_NRNA_chr1_1_156579722_156587719	RIGEL_NRNA_chr1_1_156579722_156587719		nRNA chr1:156,579,722-156,587,719(+)
chr14:6632	A00839:75:H7MFFDSXY:3:2574:6876:15342	gdna	nrna	chr14	91303617	91305767	91303617	91303766	150M	2151	3	False	True	2	0	299	25	1.0	multimapper	spliced_annot	6632	RIGEL_NRNA_chr14_2_91271322_91417820	RIGEL_NRNA_chr14_2_91271322_91417820		nRNA chr14:91,271,322-91,417,820(-)
chr17:8532	A00839:75:H7MFFDSXY:3:1635:8730:19147	gdna	mrna	chr17	8836437	8836794	8836571	8836794	146M74N4M	-358	255	True	False	1	0	298	3	1.0	unambig	spliced_annot	8532	ENST00000611951.4	ENSG00000276231.5	PIK3R6	mRNA PIK3R6 ENST00000611951.4
chr5:3	A00839:75:H7MFFDSXY:3:1322:26232:31548	gdna	mrna	chr5	146878015	146878593	146878049	146878593	147M395N3M	-579	255	True	False	1	0	300	3	1.0	unambig	spliced_annot	3	ENST00000394411.9	ENSG00000156475.19	PPP2R2B	mRNA PPP2R2B ENST00000394411.9
chr1:641	A00839:75:H7MFFDSXY:3:1245:16902:7811	gdna	mrna	chr1	43364150	43364617	43364314	43364617	147M154N3M	-468	255	True	False	1	0	300	3	1.0	unambig	spliced_annot	641	ENST00000464204.5	ENSG00000066322.15	ELOVL1	mRNA ELOVL1 ENST00000464204.5
chr11:4425	A00839:75:H7MFFDSXY:3:1658:8043:31046	gdna	mrna	chr11	126205396	126205744	126205396	126205713	144M168N6M	349	255	False	True	1	0	300	3	1.0	unambig	spliced_annot	4425	ENST00000533628.5	ENSG00000165526.9	RPUSD4	mRNA RPUSD4 ENST00000533628.5
chr17:8384	A00839:75:H7MFFDSXY:3:2604:17996:32503	gdna	mrna	chr17	1745211	1745630	1745481	1745630	150M	-420	255	True	False	1	0	300	3	1.0	ambig_same_strand	spliced_annot	8384	ENST00000450523.6	ENSG00000167711.14	SERPINF2	mRNA SERPINF2 ENST00000450523.6
chr2:3	A00839:75:H7MFFDSXY:3:2418:30572:12414	gdna	nrna	chr2	85133768	85134234	85134085	85134234	150M	-467	255	True	False	1	0	298	25	1.0	ambig_same_strand	spliced_implicit	3	RIGEL_NRNA_chr2_1_85133391_85310387	RIGEL_NRNA_chr2_1_85133391_85310387		nRNA chr2:85,133,391-85,310,387(+)
chr12:5399	A00839:75:H7MFFDSXY:3:1265:1542:19539	gdna	nrna	chr12	120534243	120534805	120534243	120534392	150M	563	255	False	True	1	0	295	25	1.0	ambig_opp_strand	spliced_implicit	5399	RIGEL_NRNA_chr12_1_120533479_120534836	RIGEL_NRNA_chr12_1_120533479_120534836		nRNA chr12:120,533,479-120,534,836(+)
chr9:20421	A00839:75:H7MFFDSXY:3:2271:22724:9815	gdna	nrna	chr9	35710735	35711214	35710735	35710884	150M	480	255	False	True	1	0	298	25	1.0	ambig_same_strand	spliced_implicit	20421	RIGEL_NRNA_chr9_2_35696947_35732195	RIGEL_NRNA_chr9_2_35696947_35732195		nRNA chr9:35,696,947-35,732,195(-)
chr22:14012	A00839:75:H7MFFDSXY:3:1355:5665:1971	gdna	nrna	chr22	49187997	49188386	49188255	49188386	132M	-390	1	True	False	4	1	252	25	1.0	multimapper	spliced_unannot	14012	RIGEL_NRNA_chr22_2_49166420_49188062	RIGEL_NRNA_chr22_2_49166420_49188062		nRNA chr22:49,166,420-49,188,062(-)
chr1:695	A00839:75:H7MFFDSXY:3:2375:22119:36949	gdna	nrna	chr1	47035751	47036196	47035751	47035900	150M	446	255	False	True	1	0	294	25	1.0	ambig_same_strand	spliced_implicit	695	RIGEL_NRNA_chr1_1_47023668_47050751	RIGEL_NRNA_chr1_1_47023668_47050751		nRNA chr1:47,023,668-47,050,751(+)
chr12:4580	A00839:75:H7MFFDSXY:3:1260:29441:17221	gdna	mrna	chr12	8917724	8921043	8919827	8921043	91M1067N59M	-3320	255	True	False	1	0	299	3	1.0	unambig	spliced_annot	4580	ENST00000541181.1	ENSG00000111752.11	PHC1	mRNA PHC1 ENST00000541181.1
chr11:3298	A00839:75:H7MFFDSXY:3:2610:13476:33755	gdna	mrna	chr11	64827252	64827548	64827252	64827529	147M128N3M	297	255	False	True	1	0	300	3	1.0	unambig	spliced_annot	3298	ENST00000342711.6	ENSG00000171219.9	CDC42BPG	mRNA CDC42BPG ENST00000342711.6
chrX:21753	A00839:75:H7MFFDSXY:3:2501:10402:30029	gdna	nrna	chrX	136346372	136346713	136346564	136346713	150M	-342	0	True	False	8	0	257	25	1.0	multimapper	unspliced	21753	RIGEL_NRNA_chrX_1_104566198_105767829	RIGEL_NRNA_chrX_1_104566198_105767829		nRNA chrX:104,566,198-105,767,829(+)
chr1:1354	A00839:75:H7MFFDSXY:3:2316:1985:27571	gdna	mrna	chr1	153628145	153628860	153628711	153628860	150M	-716	255	True	False	1	0	300	3	1.0	unambig	spliced_annot	1354	ENST00000368698.3	ENSG00000160678.12	S100A1	mRNA S100A1 ENST00000368698.3
chr7:18987	A00839:75:H7MFFDSXY:3:1616:24542:14184	gdna	mrna	chr7	121329241	121329632	121329241	121329569	147M179N3M	392	255	False	True	1	0	300	3	1.0	unambig	spliced_annot	18987	ENST00000222462.3	ENSG00000002745.13	WNT16	mRNA WNT16 ENST00000222462.3
chr6:17352	A00839:75:H7MFFDSXY:3:1262:16161:19993	gdna	nrna	chr6	30345029	30345458	30345029	30345178	150M	430	255	False	True	1	0	298	25	1.0	ambig_same_strand	spliced_implicit	17352	RIGEL_NRNA_chr6_1_30328888_30346857	RIGEL_NRNA_chr6_1_30328888_30346857		nRNA chr6:30,328,888-30,346,857(+)
chrX:21383	A00839:75:H7MFFDSXY:3:1134:9652:27665	gdna	nrna	chrX	49122360	49122829	49122680	49122829	150M	-470	255	True	False	1	1	296	25	1.0	ambig_same_strand	spliced_implicit	21383	RIGEL_NRNA_chrX_2_49113406_49123735	RIGEL_NRNA_chrX_2_49113406_49123735		nRNA chrX:49,113,406-49,123,735(-)
chr9:20421	A00839:75:H7MFFDSXY:3:1317:17571:2675	gdna	nrna	chr9	35703459	35704021	35703459	35703608	150M	563	255	False	True	1	0	296	25	1.0	ambig_same_strand	spliced_implicit	20421	RIGEL_NRNA_chr9_2_35696947_35732195	RIGEL_NRNA_chr9_2_35696947_35732195		nRNA chr9:35,696,947-35,732,195(-)
chr12:5330	A00839:75:H7MFFDSXY:3:2369:27136:32675	gdna	mrna	chr12	112134727	112135072	112134924	112135072	1S149M	-346	255	True	False	1	2	293	3	1.0	ambig_same_strand	spliced_annot	5330	ENST00000548092.5	ENSG00000135148.12	TRAFD1	mRNA TRAFD1 ENST00000548092.5
chrX:260	A00839:75:H7MFFDSXY:3:1549:11324:7983	gdna	mrna	chrX	20130595	20138599	20135753	20138599	89M2697N61M	-8005	255	True	False	1	0	305	3	1.0	unambig	spliced_annot	260	ENST00000379607.10	ENSG00000173674.11	EIF1AX	mRNA EIF1AX ENST00000379607.10
chr2:3	A00839:75:H7MFFDSXY:3:2119:18204:22842	gdna	mrna	chr2	118088664	118096543	118088664	118096543	3M7752N100M1D24M	7880	255	False	True	1	1	247	3	1.0	unambig	spliced_annot	3	ENST00000467223.5	ENSG00000125629.16	INSIG2	mRNA INSIG2 ENST00000467223.5
chr3:14335	A00839:75:H7MFFDSXY:3:2121:10420:34350	gdna	nrna	chr3	49795593	49796148	49795999	49796148	150M	-556	255	True	False	1	0	296	25	1.0	ambig_same_strand	spliced_implicit	14335	RIGEL_NRNA_chr3_2_49790731_49799873	RIGEL_NRNA_chr3_2_49790731_49799873		nRNA chr3:49,790,731-49,799,873(-)
chr19:10229	A00839:75:H7MFFDSXY:3:1323:27299:11600	gdna	nrna	chr19	14088413	14088838	14088413	14088562	150M	426	255	False	True	1	0	298	25	1.0	ambig_same_strand	spliced_implicit	10229	RIGEL_NRNA_chr19_2_14087850_14090751	RIGEL_NRNA_chr19_2_14087850_14090751		nRNA chr19:14,087,850-14,090,751(-)
chr17:8608	A00839:75:H7MFFDSXY:3:2246:7075:17503	gdna	mrna	chr17	18245493	18245936	18245493	18245642	150M	444	255	False	True	1	0	300	3	1.0	ambig_same_strand	spliced_annot	8608	ENST00000487369.5	ENSG00000177731.16	FLII	mRNA FLII ENST00000487369.5
chr19:9865	A00839:75:H7MFFDSXY:3:2668:14669:19727	gdna	nrna	chr19	308922	312044	311895	312044	150M	-3123	3	True	False	2	1	297	25	1.0	multimapper	spliced_annot	9865	RIGEL_NRNA_chr19_2_305572_344796	RIGEL_NRNA_chr19_2_305572_344796		nRNA chr19:305,572-344,796(-)
chr11:3107	A00839:75:H7MFFDSXY:3:2556:1253:30624	gdna	nrna	chr11	551629	552088	551629	551778	150M	460	255	False	True	1	2	294	25	1.0	ambig_same_strand	spliced_implicit	3107	RIGEL_NRNA_chr11_1_537526_554912	RIGEL_NRNA_chr11_1_537526_554912		nRNA chr11:537,526-554,912(+)
chr5:16190	A00839:75:H7MFFDSXY:3:2577:24623:8187	gdna	mrna	chr5	13885940	13886153	13886019	13886153	135M15S	-214	0	True	False	5	8	267	3	1.0	multimapper	unspliced	16190	ENST00000681290.1	ENSG00000039139.11	DNAH5	mRNA DNAH5 ENST00000681290.1
chr17:9312	A00839:75:H7MFFDSXY:3:2606:3504:9377	gdna	nrna	chr17	74941536	74942067	74941918	74942067	150M	-532	255	True	False	1	1	296	25	1.0	ambig_same_strand	spliced_implicit	9312	RIGEL_NRNA_chr17_1_74935897_74949992	RIGEL_NRNA_chr17_1_74935897_74949992		nRNA chr17:74,935,897-74,949,992(+)
chr12:3	A00839:75:H7MFFDSXY:3:1639:19904:34992	gdna	nrna	chr12	40516319	40517855	40516319	40516468	150M	1537	3	False	True	2	0	299	25	1.0	multimapper	spliced_annot	3	RIGEL_NRNA_chr12_1_40393447_40570646	RIGEL_NRNA_chr12_1_40393447_40570646		nRNA chr12:40,393,447-40,570,646(+)
chr11:3088	A00839:75:H7MFFDSXY:3:2442:10782:19852	gdna	mrna	chr11	213415	214426	214277	214426	150M	-1012	255	True	False	1	0	300	3	1.0	unambig	spliced_annot	3088	ENST00000524854.5	ENSG00000177963.15	RIC8A	mRNA RIC8A ENST00000524854.5
chr12:5214	A00839:75:H7MFFDSXY:3:2360:3233:5055	gdna	nrna	chr12	120162742	120163274	120162742	120162891	150M	533	255	False	True	1	0	298	25	1.0	ambig_same_strand	spliced_implicit	5214	RIGEL_NRNA_chr12_2_120127201_120194715	RIGEL_NRNA_chr12_2_120127201_120194715		nRNA chr12:120,127,201-120,194,715(-)
chr19:10308	A00839:75:H7MFFDSXY:3:1366:23448:36902	gdna	mrna	chr19	17351639	17366116	17351639	17366116	4M14330N144M	-14478	255	True	False	1	0	297	3	1.0	unambig	spliced_annot	10308	ENST00000595816.1	ENSG00000130300.9	PLVAP	mRNA PLVAP ENST00000595816.1
