region_id	ref_name	start_1based	end	length_bp	region_type	region_strand	boundary_flux_left	boundary_flux_right	tx_pos_bp	tx_neg_bp	exon_pos_bp	exon_neg_bp	gdna_source_total	gdna_false_rna	gdna_false_mrna	gdna_false_nrna	gdna_false_rna_rate	rna_source_total	rna_false_gdna	exon_interval_count	exon_transcript_count	exon_gene_count	transcript_span_count	transcript_span_gene_count
303210	chr8	143857324	143873298	15975	EXON	NEG	False	True	0	15975	0	15975	3750	958	116	842	0.2554666666666667	2769	626	2	2	1	2	1
167570	chr4	87613785	87616873	3089	EXON	POS	True	True	3089	3089	3089	0	1735	948	549	399	0.5463976945244957	0	0	1	1	1	2	2
609535	chr21	14961235	14968526	7292	EXON	AMBIG	True	True	2925	7292	562	7292	2358	944	944	0	0.4003392705682782	1554	50	7	6	2	8	3
6087	chr1	15928091	15936266	8176	EXON	POS	True	True	8176	0	8176	0	2399	940	903	37	0.3918299291371405	6621	222	4	4	1	4	1
175188	chr4	143695491	143700675	5185	EXON	AMBIG	True	True	5185	5185	35	5185	1931	922	612	310	0.47747281201450026	5	2	2	2	2	3	2
376125	chr11	66857064	66859093	2030	EXON	AMBIG	True	True	2030	2030	2030	408	1470	920	550	370	0.6258503401360545	1959	98	6	4	2	15	2
384987	chr11	108505435	108514875	9441	EXON	NEG	False	True	0	9441	0	9441	2637	873	873	0	0.3310580204778157	1977	196	5	5	1	5	1
99056	chr2	178547407	178550681	3275	EXON	AMBIG	True	True	3275	3275	1798	2655	1261	873	37	836	0.6923076923076923	181	14	37	13	2	41	3
627510	chr22	42209651	42215440	5790	EXON	NEG	True	True	0	5790	0	5790	2145	857	857	0	0.3995337995337995	5353	123	7	7	1	7	1
165490	chr4	76738761	76742130	3370	EXON	POS	True	True	3370	3370	3370	0	1632	849	646	203	0.5202205882352942	3075	17	5	5	1	8	2
378097	chr11	72012895	72016887	3993	EXON	AMBIG	True	True	2597	3993	2597	3489	1609	844	827	17	0.5245494095711623	14876	123	16	11	2	11	2
219426	chr6	31025502	31030100	4599	EXON	POS	True	True	4599	0	4599	0	2303	842	815	27	0.36561007381676075	0	0	1	1	1	1	1
125103	chr3	49651543	49658196	6654	EXON	POS	True	True	6654	0	6654	0	2989	833	833	0	0.2786885245901639	2700	385	1	1	1	1	1
156470	chr4	13598946	13605084	6139	EXON	NEG	True	True	0	6139	0	6139	2383	830	830	0	0.3483004616030214	2320	203	2	2	1	2	1
288768	chr8	54624670	54630834	6165	EXON	POS	True	True	6165	0	6165	0	2637	819	718	101	0.310580204778157	2	1	1	1	1	3	1
78496	chr2	73447960	73454067	6108	EXON	POS	True	True	6108	0	6108	0	2442	817	817	0	0.3345618345618346	1393	98	14	14	1	15	1
39545	chr1	154600177	154602626	2450	EXON	NEG	True	True	0	2450	0	2450	1547	816	814	2	0.5274725274725275	7309	23	49	38	1	38	1
525699	chr17	29625938	29632931	6994	EXON	NEG	True	True	6994	6994	0	6994	1551	814	443	371	0.524822695035461	955	53	5	4	1	5	2
91086	chr2	132781940	132785718	3779	EXON	NEG	True	True	3779	3779	0	3779	1491	813	417	396	0.545271629778672	104	11	2	2	1	4	2
96262	chr2	167242569	167252057	9489	EXON	POS	True	True	9489	0	9489	0	2486	812	812	0	0.3266291230893001	0	0	5	5	1	9	1
231334	chr6	87254650	87265943	11294	EXON	POS	True	False	11294	0	11294	0	2346	812	812	0	0.34612105711849955	1744	146	9	9	1	9	1
123469	chr3	47120182	47124548	4367	EXON	NEG	True	True	0	4367	0	4367	2184	812	812	0	0.3717948717948718	3193	146	17	17	1	18	1
38349	chr1	152153595	152156960	3366	EXON	NEG	True	True	0	3366	0	3366	2038	810	714	96	0.3974484789008832	0	0	1	1	1	2	2
239988	chr6	142769552	142775125	5574	EXON	NEG	True	True	0	5574	0	5574	2332	804	804	0	0.34476843910806176	1316	113	7	7	1	9	1
99636	chr2	178774207	178778755	4549	EXON	AMBIG	True	True	4549	4549	4529	2849	1216	801	20	781	0.6587171052631579	2	0	101	26	2	26	2
262539	chr7	93099513	93106105	6593	EXON	NEG	False	True	0	6593	0	6593	2266	800	792	8	0.353045013239188	19	3	3	3	1	3	1
390555	chr11	128965060	128975002	9943	EXON	NEG	False	True	0	9943	0	9943	2286	798	798	0	0.34908136482939633	3848	165	15	6	1	6	1
484083	chr15	89623623	89625786	2164	EXON	POS	True	True	2164	2164	2164	0	1216	797	473	324	0.6554276315789473	1559	25	3	3	1	4	2
183061	chr5	5460436	5465226	4791	EXON	POS	True	True	4791	0	4791	0	1995	794	749	45	0.3979949874686717	1929	51	1	1	1	1	1
557700	chr18	58534834	58538552	3719	EXON	AMBIG	True	True	3138	3719	2553	3391	1315	787	315	472	0.5984790874524715	0	0	5	4	2	4	2
329451	chr9	137101484	137109189	7706	EXON	POS	True	False	7706	0	7706	0	1902	783	716	67	0.4116719242902208	1457	457	193	37	1	37	1
99100	chr2	178588538	178591504	2967	EXON	AMBIG	True	True	2967	2967	176	2967	1235	774	50	724	0.6267206477732794	8	0	21	21	2	42	2
375903	chr11	66590176	66593063	2888	EXON	NEG	False	False	0	2888	0	2888	2702	774	0	774	0.28645447816432273	58	9	1	1	1	1	1
597680	chr20	25673195	25678074	4880	EXON	AMBIG	True	True	4880	4880	4223	3843	1197	758	750	8	0.633249791144528	565	51	20	11	2	11	2
215102	chr6	11102324	11105630	3307	EXON	NEG	True	True	3307	3307	0	3307	1716	757	434	323	0.44114219114219116	36	15	2	2	1	4	2
599598	chr20	34740363	34743341	2979	EXON	AMBIG	True	True	1941	2979	207	2979	1659	755	657	98	0.4550934297769741	2585	80	3	3	2	6	2
135011	chr3	113648385	113661425	13041	EXON	NEG	False	True	0	13041	0	13041	2454	751	751	0	0.30603096984515077	1995	235	4	4	1	4	1
526487	chr17	31294575	31297539	2965	EXON	NEG	True	True	2965	2965	0	2965	1194	749	364	385	0.6273031825795645	23	8	4	3	1	13	2
604610	chr20	50888916	50894512	5597	EXON	NEG	False	True	0	5597	0	5597	1749	749	748	1	0.4282447112635792	7888	125	9	9	1	9	1
199885	chr5	124646679	124649133	2455	EXON	NEG	True	True	0	2455	0	2455	2158	743	743	0	0.3443002780352178	2256	165	4	4	1	7	1
340936	chr10	60068637	60076454	7818	EXON	NEG	True	True	0	7818	0	7818	2922	742	571	171	0.2539356605065024	265	52	6	5	1	12	1
234818	chr6	111372596	111376757	4162	EXON	NEG	True	True	4162	4162	0	4162	1394	742	462	280	0.5322812051649928	602	46	5	5	1	8	2
215116	chr6	11189964	11191205	1242	EXON	NEG	True	True	1242	1242	0	1242	1408	739	467	272	0.5248579545454546	1314	20	5	5	1	6	2
132511	chr3	99847923	99851075	3153	EXON	NEG	True	True	3153	3153	0	3153	1251	737	411	326	0.5891286970423661	24	6	8	7	1	12	2
544153	chr17	76006845	76010543	3699	EXON	NEG	True	True	0	3699	0	3699	2027	736	722	14	0.3630981746423286	3088	161	4	4	1	4	1
558972	chr18	67506587	67515492	8906	EXON	AMBIG	False	True	7442	8906	3305	8906	1108	734	731	3	0.6624548736462094	1526	46	5	3	2	3	2
387445	chr11	118502398	118506646	4249	EXON	POS	True	True	4249	0	4249	0	2008	731	717	14	0.36404382470119523	3196	130	12	12	1	12	1
598568	chr20	32433284	32439319	6036	EXON	POS	True	False	6036	0	6036	0	1811	731	681	50	0.4036443953616786	4955	132	13	7	1	7	1
370739	chr11	57739131	57746148	7018	EXON	AMBIG	True	True	7018	2635	4424	2635	1466	723	378	345	0.4931787175989086	2231	19	56	26	4	30	5
509506	chr16	72793255	72798714	5460	EXON	NEG	True	True	5460	5460	0	5460	1240	720	546	174	0.5806451612903226	3612	66	3	3	1	8	2
373639	chr11	64229131	64230070	940	EXON	AMBIG	True	True	940	857	940	824	939	716	83	633	0.7625133120340788	641	7	21	10	2	10	2
375169	chr11	65717245	65720818	3574	EXON	AMBIG	True	False	2360	3574	1072	3574	2090	716	319	397	0.34258373205741627	3752	166	65	20	2	20	2
203989	chr5	141177790	141180539	2750	EXON	POS	True	True	2750	2750	2750	0	1112	716	0	716	0.6438848920863309	603	13	2	2	1	3	2
229824	chr6	75312368	75317525	5158	EXON	AMBIG	True	True	5158	5158	5158	2806	1087	710	710	0	0.6531738730450782	2	0	6	6	2	6	2
404936	chr12	50350329	50356248	5920	EXON	NEG	True	True	0	5920	0	5920	2363	703	701	2	0.2975031739314431	6	5	3	3	1	3	1
489832	chr16	2761561	2768261	6701	EXON	POS	True	True	6701	0	6701	0	1681	703	701	2	0.4182034503271862	19612	487	13	12	1	12	1
480639	chr15	77177819	77182040	4222	EXON	NEG	True	True	0	4222	0	4222	2172	699	699	0	0.3218232044198895	18	2	10	9	1	9	1
39669	chr1	154987466	154989012	1547	EXON	POS	True	True	1547	0	1547	0	1659	698	625	73	0.4207353827606992	1644	42	10	10	1	10	1
125085	chr3	49530797	49535618	4822	EXON	POS	True	False	4822	0	4822	0	1424	694	694	0	0.48735955056179775	9273	29	16	16	1	16	1
326907	chr9	132326324	132330499	4176	EXON	NEG	True	True	0	4176	0	4176	2022	693	693	0	0.3427299703264095	1960	141	1	1	1	1	1
532309	chr17	43091098	43094860	3763	EXON	NEG	True	True	0	3763	0	3763	1836	686	686	0	0.37363834422657954	1125	55	28	28	1	32	1
294464	chr8	93728155	93736438	8284	EXON	AMBIG	True	True	4180	8284	4019	8284	1571	681	377	304	0.4334818586887333	1176	63	17	16	3	16	3
136445	chr3	121693741	121698929	5189	EXON	NEG	True	True	0	5189	0	5189	1758	677	669	8	0.3850967007963595	2335	128	37	37	1	40	1
373635	chr11	64225786	64227914	2129	EXON	AMBIG	True	True	1974	469	1974	469	1528	675	588	87	0.44175392670157065	1425	48	34	20	2	20	2
593426	chr20	3146519	3151747	5229	EXON	AMBIG	True	True	4349	5229	330	5229	1194	672	460	212	0.5628140703517588	1177	32	7	6	2	9	3
376907	chr11	68154863	68159171	4309	EXON	NEG	False	True	0	4309	0	4309	1802	671	669	2	0.3723640399556049	2347	136	11	11	1	11	1
198397	chr5	112837553	112846239	8687	EXON	POS	True	True	8687	0	8687	0	1808	669	668	1	0.3700221238938053	577	40	13	13	1	14	2
104894	chr2	206304717	206314427	9711	EXON	POS	True	False	9711	0	9711	0	2296	667	667	0	0.2905052264808362	251	31	12	9	1	9	1
298972	chr8	123252429	123256171	3743	EXON	NEG	True	True	0	3743	0	3743	1758	666	666	0	0.378839590443686	2397	113	7	7	1	10	2
584509	chr19	46918488	46922356	3869	EXON	POS	True	True	3869	0	3869	0	1684	666	666	0	0.39548693586698336	5986	238	2	2	1	2	1
221428	chr6	33200242	33202427	2186	EXON	AMBIG	True	True	2123	424	2123	424	1849	663	208	455	0.35857220118983235	5320	107	56	20	2	20	2
522013	chr17	17792933	17798513	5581	EXON	POS	True	True	5581	0	5581	0	1707	661	661	0	0.3872290568248389	5218	209	4	4	1	4	1
320283	chr9	110406160	110408951	2792	EXON	NEG	True	True	0	2792	0	2792	2041	660	265	395	0.32337089661930424	7	2	1	1	1	1	1
533227	chr17	44395281	44401453	6173	EXON	NEG	False	True	0	6173	0	6173	1703	658	658	0	0.3863769817968291	2543	98	6	6	1	6	1
227836	chr6	56603837	56609344	5508	EXON	NEG	True	True	0	5508	0	5508	1934	656	440	216	0.3391933815925543	46	6	3	3	1	10	1
546153	chr17	80344678	80348286	3609	EXON	POS	True	True	3609	0	3609	0	1965	651	651	0	0.33129770992366414	2268	176	2	2	1	2	1
41043	chr1	156592101	156599795	7695	EXON	AMBIG	True	True	7695	5495	7695	4534	1144	648	426	222	0.5664335664335665	2562	40	163	36	2	36	2
526491	chr17	31303770	31305630	1861	EXON	NEG	True	True	1861	1861	0	1861	1022	647	340	307	0.6330724070450098	18	7	6	6	2	15	3
99066	chr2	178554453	178558966	4514	EXON	AMBIG	True	True	4514	4514	4406	2073	954	644	14	630	0.6750524109014675	15	4	73	13	2	41	3
623498	chr22	31712083	31717291	5209	EXON	NEG	True	True	0	5209	0	5209	2173	640	640	0	0.29452369995398064	1875	255	5	5	1	5	1
588233	chr19	51889235	51891897	2663	EXON	NEG	True	True	2663	2663	0	2663	855	639	385	254	0.7473684210526316	2911	17	4	3	2	4	3
483271	chr15	85578930	85582107	3178	EXON	AMBIG	True	True	3178	1133	3178	953	1475	633	540	93	0.42915254237288136	1688	61	7	6	2	6	2
181370	chr4	186617708	186621775	4068	EXON	NEG	True	True	0	4068	0	4068	2174	630	630	0	0.28978840846366144	1721	150	1	1	1	1	1
305433	chr9	5919022	5923309	4288	EXON	NEG	True	True	0	4288	0	4288	1857	629	629	0	0.3387183629509962	611	56	4	4	1	4	1
641237	chrX	72204657	72208698	4042	EXON	NEG	True	True	4042	4042	0	4042	993	628	413	215	0.6324269889224572	792	19	2	2	1	6	2
604228	chr20	49363877	49374992	11116	EXON	AMBIG	True	True	11116	11116	1407	11116	1169	626	410	216	0.5355004277159966	84	6	7	7	2	9	2
292196	chr8	76704043	76706678	2636	EXON	POS	True	True	2636	0	2636	0	1537	623	595	28	0.4053350683148991	2335	37	8	8	1	9	1
262957	chr7	94663334	94669695	6362	EXON	POS	True	False	6362	0	6362	0	1245	623	622	1	0.5004016064257029	10549	67	12	8	1	8	1
586927	chr19	50043474	50048776	5303	EXON	AMBIG	True	True	5303	5303	4107	1441	1109	618	401	217	0.5572587917042381	803	60	10	9	2	10	2
37181	chr1	150470561	150476566	6006	EXON	POS	True	False	6006	0	6006	0	1617	618	618	0	0.3821892393320965	3160	143	3	3	1	3	1
614429	chr21	41986831	41994108	7278	EXON	NEG	False	True	0	7278	0	7278	2066	616	616	0	0.29816069699903197	696	88	9	8	1	8	1
601812	chr20	41202057	41205066	3010	EXON	NEG	True	True	0	3010	0	3010	1640	613	613	0	0.37378048780487805	1265	27	14	14	1	14	1
66700	chr2	21005080	21012651	7572	EXON	NEG	True	True	0	7572	0	7572	2850	612	531	81	0.21473684210526317	0	0	2	2	1	2	1
253783	chr7	43875894	43879260	3367	EXON	NEG	True	True	0	3367	0	3367	1762	609	609	0	0.3456299659477866	2041	125	10	10	1	11	2
431315	chr13	38687077	38692517	5441	EXON	POS	False	True	5441	0	5441	0	1954	608	600	8	0.3111566018423746	175	24	1	1	1	1	1
402816	chr12	45850036	45852896	2861	EXON	POS	True	True	2861	0	2861	0	1454	605	601	4	0.4160935350756534	2767	38	5	5	1	5	1
529635	chr17	39404285	39410721	6437	EXON	AMBIG	True	True	1949	6437	754	6437	1656	604	604	0	0.3647342995169082	2567	135	6	5	2	5	2
164426	chr4	73090667	73092300	1634	EXON	NEG	True	True	0	1634	0	1634	1610	604	604	0	0.37515527950310557	4426	168	4	4	1	4	1
408462	chr12	56468851	56479901	11051	EXON	AMBIG	True	True	10858	11051	10670	3703	1678	600	308	292	0.3575685339690107	686	91	151	21	3	22	4
439343	chr13	108207439	108211296	3858	EXON	NEG	False	True	0	3858	0	3858	2507	594	594	0	0.23693657758276826	387	87	19	19	1	19	1
179648	chr4	174975346	174978180	2835	EXON	AMBIG	True	True	2835	610	2835	95	1495	593	466	127	0.39665551839464885	0	0	11	11	2	11	2
225156	chr6	43336070	43340502	4433	EXON	NEG	True	True	0	4433	0	4433	2056	592	592	0	0.28793774319066145	985	157	1	1	1	3	1
444128	chr14	24304938	24312053	7116	EXON	AMBIG	True	True	7116	6244	7116	2821	1067	592	217	375	0.5548266166822868	956	49	44	17	4	17	4
99594	chr2	178739141	178741921	2781	EXON	NEG	True	True	2781	2781	0	2781	975	587	52	535	0.602051282051282	0	0	11	11	1	20	2
124695	chr3	49011421	49014499	3079	EXON	POS	True	True	3079	0	3079	0	1593	581	517	64	0.36472065285624605	8077	223	41	22	1	22	1
373653	chr11	64233492	64234352	861	EXON	AMBIG	True	False	795	861	795	159	728	580	53	527	0.7967032967032966	825	4	12	8	2	8	2
171486	chr4	113353045	113360897	7853	EXON	POS	True	True	7853	0	7853	0	1895	579	571	8	0.30554089709762533	250	26	115	90	1	90	1
657734	GL000220.1	112178	149258	37081	INTERGENIC	NONE	False	False	0	0	0	0	2115	574	0	574	0.2713947990543735	1567	150	0	0	0	0	0
328833	chr9	136474049	136477689	3641	EXON	NEG	True	True	0	3641	0	3641	1560	574	573	1	0.367948717948718	6238	236	7	6	1	6	1
432473	chr13	44573163	44576330	3168	EXON	AMBIG	True	True	438	3168	378	3168	1250	573	549	24	0.4584	5562	39	6	6	2	6	2
544373	chr17	76291015	76294021	3007	EXON	NEG	True	True	0	3007	0	3007	2009	573	572	1	0.2852165256346441	190	58	4	4	1	5	1
191317	chr5	67163147	67169593	6447	EXON	POS	True	False	6447	0	6447	0	1565	571	536	35	0.3648562300319489	686	36	5	5	1	5	1
575737	chr19	31274945	31279752	4808	EXON	NEG	True	True	0	4808	0	4808	1604	570	570	0	0.3553615960099751	14	0	2	2	1	3	1
612529	chr21	34094863	34106260	11398	EXON	POS	True	True	11398	0	11398	0	1725	570	570	0	0.33043478260869563	1387	107	5	3	2	5	3
400922	chr12	31980878	31985957	5080	EXON	POS	True	True	5080	0	5080	0	2093	568	568	0	0.2713807931199236	776	160	3	3	1	6	1
373649	chr11	64231616	64232614	999	EXON	POS	True	True	999	999	999	0	708	568	8	560	0.8022598870056498	858	0	20	11	1	13	2
266685	chr7	105111825	105118022	6198	EXON	AMBIG	True	True	3195	6198	3195	3274	1055	568	355	213	0.5383886255924171	1841	70	20	17	2	17	2
40193	chr1	155477886	155482449	4564	EXON	NEG	True	True	0	4564	0	4564	1548	567	567	0	0.36627906976744184	1977	103	12	12	1	12	1
99034	chr2	178538540	178540779	2240	EXON	AMBIG	True	True	2240	2240	2082	1494	833	563	201	362	0.6758703481392557	273	10	70	32	2	56	2
321769	chr9	115085864	115087273	1410	EXON	NEG	True	True	1410	1410	0	1410	1052	562	386	176	0.5342205323193916	4334	15	6	6	1	8	2
380913	chr11	82931732	82934659	2928	EXON	POS	True	True	2928	2928	2928	0	1047	562	386	176	0.5367717287488061	304	12	8	8	1	9	2
328435	chr9	135820839	135823260	2422	EXON	NEG	True	True	0	2422	0	2422	1348	561	541	20	0.41617210682492584	2468	47	4	4	1	4	1
373631	chr11	64223313	64224717	1405	EXON	AMBIG	True	True	584	919	584	919	1293	559	50	509	0.4323279195668987	850	24	82	51	2	51	2
123837	chr3	47909038	47912421	3384	EXON	NEG	True	True	0	3384	0	3384	1592	555	480	75	0.34861809045226133	115	12	4	4	1	7	1
482611	chr15	83262951	83264815	1865	EXON	NEG	True	True	1865	1865	0	1865	1303	554	323	231	0.42517267843438217	15	0	2	2	1	3	2
374569	chr11	65084210	65089110	4901	EXON	AMBIG	False	True	4189	4132	3120	4132	2877	554	77	477	0.19256169621133123	1343	92	78	21	2	21	2
581663	chr19	42078587	42081552	2966	EXON	POS	True	False	2966	0	2966	0	1470	548	539	9	0.3727891156462585	2802	92	4	4	1	4	1
320221	chr9	110136127	110138539	2413	EXON	POS	True	True	2413	0	2413	0	1540	546	538	8	0.35454545454545455	1271	43	9	9	1	10	1
373781	chr11	64285848	64286881	1034	EXON	POS	True	True	1034	0	1034	0	1481	545	379	166	0.3679945982444294	2249	41	17	16	1	16	1
212871	chr5	181255147	181261150	6004	EXON	AMBIG	True	True	6004	6004	400	6004	941	545	252	293	0.5791710945802337	287	11	20	13	2	14	2
402842	chr12	45926142	45929965	3824	EXON	NEG	True	True	0	3824	0	3824	1171	542	494	48	0.4628522630230572	2154	20	6	6	1	6	1
559806	chr18	74630963	74635706	4744	EXON	POS	True	True	4744	0	4744	0	1356	542	533	9	0.3997050147492625	1028	45	4	4	1	4	1
265381	chr7	101031601	101043819	12219	EXON	POS	True	True	12219	0	12219	0	5139	541	541	0	0.10527339949406499	1	1	3	3	1	3	1
483009	chr15	84782654	84784895	2242	EXON	POS	True	True	2242	0	2242	0	1282	540	486	54	0.42121684867394693	2294	23	3	3	1	3	1
298848	chr8	122951292	122954028	2737	EXON	POS	True	True	2737	0	2737	0	1527	539	539	0	0.3529796987557302	769	39	2	2	1	2	1
479879	chr15	75205999	75209595	3597	EXON	POS	True	True	3597	0	3597	0	1566	539	433	106	0.3441890166028097	1981	144	7	7	1	7	1
382593	chr11	93696682	93700186	3505	EXON	POS	True	True	3505	0	3505	0	1607	536	499	37	0.33354075917859366	929	88	4	4	1	4	1
299748	chr8	126552443	126557769	5327	EXON	AMBIG	False	True	1447	5327	1447	5289	699	536	161	375	0.7668097281831188	1316	35	7	5	2	5	2
173124	chr4	125316400	125321586	5187	EXON	POS	True	True	5187	0	5187	0	2089	534	534	0	0.2556247008137865	40	4	2	2	1	3	1
381309	chr11	85724032	85728028	3997	EXON	NEG	True	True	0	3997	0	3997	1716	534	534	0	0.3111888111888112	796	91	10	10	1	10	1
26533	chr1	89581291	89584789	3499	EXON	AMBIG	True	True	3499	3499	2165	2134	857	532	348	184	0.6207701283547258	778	27	10	10	2	10	2
469993	chr15	42684116	42694342	10227	EXON	POS	True	True	10227	0	10227	0	3778	532	495	37	0.14081524616199048	35	20	2	2	1	2	1
515019	chr17	1724540	1728626	4087	EXON	AMBIG	True	True	4087	2879	4087	164	1432	529	433	96	0.36941340782122906	1297	149	7	7	2	12	2
374799	chr11	65355793	65357613	1821	EXON	POS	True	False	1821	0	1821	0	1298	528	512	16	0.4067796610169492	189	7	1	1	1	1	1
276073	chr7	150371164	150374044	2881	EXON	AMBIG	True	True	2881	1427	2881	98	913	523	83	440	0.5728368017524644	6788	28	16	16	2	17	3
261069	chr7	82951856	82956935	5080	EXON	NEG	True	True	0	5080	0	5080	2227	523	523	0	0.2348450830713965	216	62	2	2	1	2	1
267779	chr7	111122415	111125454	3040	EXON	POS	True	True	3040	3040	3040	0	955	523	292	231	0.5476439790575917	13	4	4	4	1	10	2
59333	chr1	231332753	231338604	5852	EXON	AMBIG	False	True	1501	5100	1501	5100	1259	519	160	359	0.41223193010325654	537	47	5	5	2	5	2
192365	chr5	72193866	72200367	6502	EXON	POS	True	True	6502	0	6502	0	1464	518	518	0	0.35382513661202186	822	79	4	4	1	4	1
15017	chr1	39409503	39414477	4975	EXON	POS	True	True	4975	0	4975	0	1322	517	480	37	0.39107413010590014	1063	46	2	2	1	12	1
212323	chr5	179835133	179840959	5827	EXON	AMBIG	True	True	2946	5827	1643	5766	1012	517	400	117	0.5108695652173914	1320	95	30	19	2	19	2
373643	chr11	64230432	64230940	509	EXON	POS	True	True	509	509	509	0	664	517	91	426	0.7786144578313253	1117	5	6	6	2	7	3
265349	chr7	100990585	101005519	14935	EXON	POS	True	True	14935	0	14935	0	2678	515	496	19	0.19230769230769232	0	0	2	2	1	2	1
212845	chr5	181223281	181235808	12528	EXON	AMBIG	True	False	12528	6040	12528	566	2361	512	512	0	0.216857263871241	1263	226	44	10	2	10	2
468549	chr15	40620640	40626042	5403	EXON	POS	True	True	5403	0	5403	0	1432	511	511	0	0.3568435754189944	936	96	5	5	1	6	1
