condition	true_pool	pred_pool	zf	count
gdna_high_ss_0.50_nrna_high	mrna	gdna	5	49680
gdna_high_ss_0.50_nrna_high	mrna	nrna	25	17999
gdna_high_ss_0.50_nrna_high	mrna	nrna	9	9730
gdna_high_ss_0.50_nrna_high	nrna	nrna	25	108929
gdna_high_ss_0.50_nrna_high	nrna	gdna	5	121822
gdna_high_ss_0.50_nrna_high	nrna	mrna	3	45082
gdna_high_ss_0.50_nrna_high	nrna	unresolved	64	52
gdna_high_ss_0.50_nrna_high	gdna	gdna	37	1759164
gdna_high_ss_0.50_nrna_high	gdna	gdna	5	221916
gdna_high_ss_0.50_nrna_high	gdna	nrna	25	8374
gdna_high_ss_0.50_nrna_high	gdna	mrna	3	9943
gdna_high_ss_0.50_nrna_high	gdna	nrna	9	380
gdna_high_ss_0.50_nrna_high	gdna	unresolved	64	223
gdna_high_ss_0.99_nrna_high	mrna	mrna	3	937091
gdna_high_ss_0.99_nrna_high	mrna	nrna	25	33958
gdna_high_ss_0.99_nrna_high	mrna	gdna	5	18485
gdna_high_ss_0.99_nrna_high	mrna	nrna	9	10466
gdna_high_ss_0.99_nrna_high	nrna	nrna	25	181848
gdna_high_ss_0.99_nrna_high	nrna	gdna	5	48970
gdna_high_ss_0.99_nrna_high	nrna	mrna	3	45015
gdna_high_ss_0.99_nrna_high	nrna	unresolved	64	52
gdna_high_ss_0.99_nrna_high	gdna	gdna	37	1759164
gdna_high_ss_0.99_nrna_high	gdna	gdna	5	220133
gdna_high_ss_0.99_nrna_high	gdna	nrna	25	12424
gdna_high_ss_0.99_nrna_high	gdna	mrna	3	7792
gdna_high_ss_0.99_nrna_high	gdna	nrna	9	264
gdna_high_ss_0.99_nrna_high	gdna	unresolved	64	223
