condition	gdna_label	gdna_rate	nrna_label	strand_specificity	truth_mrna	truth_nrna	truth_gdna	truth_total_manifest	loci_mrna	loci_nrna	loci_gdna	quant_mrna_total	nrna_quant_total	gene_quant_total	strand_model_estimate	rna_fl_mean	gdna_fl_mean	gdna_fl_rel_error	rho_intergenic	rho_intron	rho_exon_intron	rho_intron_uncorrected	rho_exon_intron_uncorrected	rho_intron_estimated_fragments	rho_exon_intron_estimated_fragments	rho_intron_strand_active	rho_exon_intron_strand_active	rho_intron_over_intergenic	rho_exon_intron_over_intergenic	total_fragments	pred_mrna	mrna_exact_tx	mrna_same_gene_wrong_tx	pred_nrna	mrna_wrong_gene	mrna_to_mrna	mrna_to_nrna	mrna_to_gdna	mrna_to_unresolved	nrna_to_mrna	nrna_to_nrna	nrna_to_gdna	nrna_to_unresolved	gdna_to_mrna	gdna_to_nrna	gdna_to_gdna	gdna_to_unresolved	mrna_to_mrna_rate	mrna_to_nrna_rate	mrna_to_gdna_rate	mrna_to_unresolved_rate	nrna_to_mrna_rate	nrna_to_nrna_rate	nrna_to_gdna_rate	nrna_to_unresolved_rate	gdna_to_mrna_rate	gdna_to_nrna_rate	gdna_to_gdna_rate	gdna_to_unresolved_rate	assigned_mrna_fraction	assigned_nrna_fraction	assigned_gdna_fraction	assigned_unresolved_fraction	truth_mrna_fraction	truth_nrna_fraction	truth_gdna_fraction	mrna_exact_tx_rate	mrna_gene_rate	mrna_wrong_gene_rate	nrna_rna_compatible_rate	gdna_to_rna_rate	rna_to_gdna_rate	overall_pool_accuracy	loci_mrna_recovery	loci_nrna_recovery	loci_gdna_recovery	winner_nrna_recall	winner_gdna_recall	winner_mrna_recall	pred_gdna	pred_unresolved
gdna_low_ss_0.50_nrna_low	low	0.25	low	0.5	1000000	59261	250000	1309261	1001104.0	33330.0	54978.0	1001104.0	33330.0	1001104.0	0.500554	257.5624660094725	334.6928797333105	-0.043734629333398514	0.024981519008124765	0.07576675495576632	0.06128275280638593	0.07576675495576632	0.06128275280638593	62817.0	10160.0	False	False	3.032912247294675	2.4531235585175937	1309261	990208	691031	284421	44226	2443	977895	13464	8641	0	10421	29694	19141	5	1892	1068	247019	21	0.977895	0.013464	0.008641	0.0	0.17584920942947302	0.5010715310237762	0.32299488702519363	8.437252155717925e-05	0.007568	0.004272	0.988076	8.4e-05	0.7563106210297259	0.03377936102885521	0.2098901594105377	1.9858530881161204e-05	0.7637896492754309	0.045262938405711314	0.19094741231885773	0.691031	0.975452	0.002443	0.6769207404532492	0.01184	0.026227719136265756	0.9582566042981498	1.001104	0.5624272287001569	0.219912	0.5010715310237762	0.988076	0.977895	274801.0	26.0
gdna_low_ss_0.99_nrna_low	low	0.25	low	0.99	1000000	59261	250000	1309261	1003791.0	48477.0	37144.0	1003791.0	48477.0	1003791.0	0.989789	257.5624660094725	334.6928797333105	-0.043734629333398514	0.024981519008124765	0.025151846213683875	0.03826647117999862	0.07576675495576632	0.06128275280638593	20852.99185015096	6344.156053451186	True	True	1.0068181284534266	1.5317912080347549	1309261	992704	698422	282442	59564	134	980998	15887	3115	0	10151	42110	6995	5	1555	1567	246857	21	0.980998	0.015887	0.003115	0.0	0.17129309326538533	0.7105853765545637	0.11803715765849378	8.437252155717925e-05	0.00622	0.006268	0.987428	8.4e-05	0.7582170399943174	0.04549436666944177	0.19626873480535967	1.9858530881161204e-05	0.7637896492754309	0.045262938405711314	0.19094741231885773	0.698422	0.980864	0.000134	0.881878469819949	0.012488	0.00954438990956903	0.9699861219420727	1.003791	0.8180253455054758	0.148576	0.7105853765545637	0.987428	0.980998	256967.0	26.0
gdna_med_ss_0.50_nrna_low	med	1.0	low	0.5	1000000	59261	1000000	2059261	997386.0	28679.0	153048.0	997386.0	28679.0	997386.0	0.500884	257.6668925142125	346.7087008092348	-0.009403711973614821	0.10001954658423759	0.15050526901080327	0.13249013514008243	0.15050526901080327	0.13249013514008243	124357.0	22737.0	False	False	1.5047585612082939	1.3246424290525827	2059261	986601	681723	285391	39464	2394	969508	12857	17635	0	10685	23806	24760	10	6408	2801	990708	83	0.969508	0.012857	0.017635	0.0	0.18030407856769207	0.40171444963804187	0.41781272675115166	0.0001687450431143585	0.006408	0.002801	0.990708	8.3e-05	0.47910439715995207	0.01916415646195407	0.5016862845457667	4.516183232722807e-05	0.48561110029277493	0.028777799414450134	0.48561110029277493	0.681723	0.967114	0.002394	0.582018528205734	0.009209	0.04002318597588319	0.9634631064250719	0.997386	0.48394390914766877	0.153048	0.40171444963804187	0.990708	0.969508	1033103.0	93.0
gdna_med_ss_0.99_nrna_low	med	1.0	low	0.99	1000000	59261	1000000	2059261	1002464.0	41824.0	134825.0	1002464.0	41824.0	1002464.0	0.990619	257.6668925142125	346.7087008092348	-0.009403711973614821	0.10001954658423759	0.10034620168386277	0.11048509109727944	0.15050526901080327	0.13249013514008243	82912.39692016628	18960.65328654687	True	True	1.00326591262189	1.104634992563455	2059261	991459	693361	282760	52829	128	976249	14523	9228	0	10401	35011	13839	10	4809	3295	991813	83	0.976249	0.014523	0.009228	0.0	0.1755117193432443	0.5907932704476806	0.23352626516596076	0.0001687450431143585	0.004809	0.003295	0.991813	8.3e-05	0.48146349588517434	0.025654348817367008	0.49283699346513143	4.516183232722807e-05	0.48561110029277493	0.028777799414450134	0.48561110029277493	0.693361	0.976121	0.000128	0.7663049897909249	0.008104	0.02177650267497812	0.9727144834967496	1.002464	0.705759268321493	0.134825	0.5907932704476806	0.991813	0.976249	1014880.0	93.0
gdna_high_ss_0.50_nrna_low	high	2.0	low	0.5	1000000	59261	2000000	3059261	989905.0	22877.0	286534.0	989905.0	22877.0	989905.0	0.500657	257.8301473370045	348.9915568653522	-0.0028812660989936895	0.19999329487751302	0.2512005832817867	0.2322755343553157	0.2512005832817867	0.2322755343553157	207423.0	40119.0	False	False	1.2560450260876788	1.1614166089796867	3059261	979360	682135	273478	33422	2302	957915	11944	30141	0	10226	17841	31185	9	11219	3637	1984910	234	0.957915	0.011944	0.030141	0.0	0.172558681088743	0.30105803142032705	0.526231416952127	0.00015187053880292266	0.0056095	0.0018185	0.992455	0.000117	0.3201295999262567	0.010924860611762122	0.6688661085144418	7.943094753929135e-05	0.32687632732218663	0.0193710180334401	0.6537526546443733	0.682135	0.955613	0.002302	0.47361671250907006	0.007428	0.05789507968291101	0.967771628507669	0.989905	0.38603803513271795	0.143267	0.30105803142032705	0.992455	0.957915	2046236.0	243.0
gdna_high_ss_0.99_nrna_low	high	2.0	low	0.99	1000000	59261	2000000	3059261	999294.0	36095.0	263927.0	999294.0	36095.0	999294.0	0.989942	257.8301473370045	348.9915568653522	-0.0028812660989936895	0.19999329487751302	0.2007048436493382	0.21095808735234878	0.2512005832817867	0.2322755343553157	165727.32531268417	36437.016623292904	True	True	1.0035578631386666	1.0548258004427158	3059261	988435	698906	271111	46954	111	970128	13425	16447	0	10079	29246	19927	9	8228	4283	1987255	234	0.970128	0.013425	0.016447	0.0	0.17007812895496194	0.4935117530922529	0.3362582474139822	0.00015187053880292266	0.004114	0.0021415	0.9936275	0.000117	0.32309600259670557	0.015348151073085951	0.6614764153826692	7.943094753929135e-05	0.32687632732218663	0.0193710180334401	0.6537526546443733	0.698906	0.970017	0.000111	0.6635898820472149	0.0062555	0.034339034477810476	0.976258318593935	0.999294	0.609085233121277	0.1319635	0.4935117530922529	0.9936275	0.970128	2023629.0	243.0
gdna_zero_ss_0.50_nrna_high	zero	0.0	high	0.5	1000000	275885	0	1275885	971114.0	0.0	304709.0	971114.0	0.0	971114.0	0.502515	257.5035247624389	250.13583983397203	-0.2853261719029371	0.0	0.2266808287707257	0.22505588600655493	0.2266808287707257	0.22505588600655493	192562.0	27823.0	False	False			1275885	961896	641576	274488	9218	1906	917970	9218	72812	0	43926	0	231897	62	0	0	0	0	0.91797	0.009218	0.072812	0.0	0.15921851496094386	0.0	0.8405567537198471	0.00022473131920909073					0.7539049365734373	0.007224789067980264	0.2388216806373615	4.859372122095643e-05	0.7837696971122006	0.21623030288779946	0.0	0.641576	0.916064	0.001906	0.15921851496094386		0.2388216806373615	0.7194770688580867	0.971114	0.0		0.0		0.91797	304709.0	62.0
gdna_zero_ss_0.99_nrna_high	zero	0.0	high	0.99	1000000	275885	0	1275885	981541.0	276130.0	18152.0	981541.0	276130.0	981541.0	0.990476	257.5035247624389	250.13583983397203	-0.2853261719029371	0.0	7.78846905559283e-05	0.07749003261161726	0.2266808287707257	0.22505588600655493	66.16188878504536	9579.865764053964	True	True			1275885	970734	663564	262982	286937	97	926643	69484	3873	0	44091	217453	14279	62	0	0	0	0	0.926643	0.069484	0.003873	0.0	0.1598165902459358	0.7882016057415228	0.051757072693332365	0.00022473131920909073					0.7608318931565149	0.2248925255802835	0.014226987541980665	4.859372122095643e-05	0.7837696971122006	0.21623030288779946	0.0	0.663564	0.926546	9.7e-05	0.9480181959874585		0.014226987541980665	0.8967077753872802	0.981541	1.0008880511807456		0.7882016057415228		0.926643	18152.0	62.0
gdna_low_ss_0.50_nrna_high	low	0.25	high	0.5	1000000	275885	250000	1525885	987350.0	98975.0	219992.0	987350.0	98975.0	987350.0	0.501211	257.7784414136847	303.574964306819	-0.1326429591233742	0.024939202524299035	0.2549017689032901	0.21222267303104303	0.2549017689032901	0.21222267303104303	213270.0	31854.0	False	False	10.220927018613823	8.50960141264613	1525885	977251	650212	277504	109074	2263	929979	22996	47025	0	45797	85126	144910	52	1475	952	247552	21	0.929979	0.022996	0.047025	0.0	0.16600032622288272	0.3085561012740816	0.5252550881707958	0.00018848433223988257	0.0059	0.003808	0.990208	8.4e-05	0.6404486576642408	0.07148245116768302	0.2880210500791344	4.78410889418272e-05	0.6553573827647562	0.18080327154405476	0.16383934569118905	0.650212	0.927716	0.002263	0.4745564274969643	0.009708	0.1504328368152302	0.8274915868495988	0.98735	0.358754553527738	0.879968	0.3085561012740816	0.990208	0.929979	439487.0	73.0
gdna_low_ss_0.99_nrna_high	low	0.25	high	0.99	1000000	275885	250000	1525885	1004824.0	248577.0	52916.0	1004824.0	248577.0	1004824.0	0.990125	257.7784414136847	303.574964306819	-0.1326429591233742	0.024939202524299035	0.025252892363179832	0.09005561208294795	0.2549017689032901	0.21222267303104303	21128.469910064436	13517.082912581225	True	True	1.0125781824248454	3.611006085507505	1525885	993966	668634	277862	259435	114	946610	47649	5741	0	45867	208872	21094	52	1489	2914	245576	21	0.94661	0.047649	0.005741	0.0	0.1662540551316672	0.7570980662232452	0.07645939431284775	0.00018848433223988257	0.005956	0.011656	0.982304	8.4e-05	0.6514029563171536	0.17002264259757452	0.17852655999633	4.78410889418272e-05	0.6553573827647562	0.18080327154405476	0.16383934569118905	0.668634	0.946496	0.000114	0.9233521213549124	0.017612	0.0210324598220059	0.9181937039816238	1.004824	0.9010167279844863	0.211664	0.7570980662232452	0.982304	0.94661	272411.0	73.0
gdna_med_ss_0.50_nrna_high	med	1.0	high	0.5	1000000	275885	1000000	2275885	989936.0	138265.0	267631.0	989936.0	138265.0	989936.0	0.500781	257.8287576525227	332.82091196490745	-0.04908310867169299	0.09998975230343332	0.3318985542797679	0.27110691119505614	0.3318985542797679	0.27110691119505614	275356.0	44634.0	False	False	3.31932569722319	2.7113469625601545	2275885	979702	649853	276885	148499	2231	928969	28643	42388	0	45475	115017	115342	51	5258	4839	989768	135	0.928969	0.028643	0.042388	0.0	0.1648331732424742	0.4169019700237418	0.418079997100241	0.00018485963354296174	0.005258	0.004839	0.989768	0.000135	0.43047078389285925	0.06524890317393015	0.5041985864839392	8.172644927138234e-05	0.439389512211733	0.12122097557653397	0.439389512211733	0.649853	0.926738	0.002231	0.581735143266216	0.010097	0.1236239943255074	0.8936101780186608	0.989936	0.501168965329757	0.267631	0.4169019700237418	0.989768	0.928969	1147498.0	186.0
gdna_med_ss_0.99_nrna_high	med	1.0	high	0.99	1000000	275885	1000000	2275885	1001429.0	240936.0	153467.0	1001429.0	240936.0	1001429.0	0.989897	257.8287576525227	332.82091196490745	-0.04908310867169299	0.09998975230343332	0.09973432069880647	0.1561982653073598	0.3318985542797679	0.27110691119505614	82743.48669561117	25715.88213298132	True	True	0.9974454221683468	1.5621427367211957	2275885	990586	670122	270536	251779	134	940792	48084	11124	0	45296	195585	34953	51	4498	8110	987257	135	0.940792	0.048084	0.011124	0.0	0.16418435217572538	0.7089366946372583	0.12669409355347336	0.00018485963354296174	0.004498	0.00811	0.987257	0.000135	0.43525309934377177	0.11062905199515793	0.45403612221179895	8.172644927138234e-05	0.439389512211733	0.12122097557653397	0.439389512211733	0.670122	0.940658	0.000134	0.8731210468129836	0.012608	0.03611375633383886	0.9331025073762514	1.001429	0.8733204052413143	0.153467	0.7089366946372583	0.987257	0.940792	1033334.0	186.0
gdna_high_ss_0.50_nrna_high	high	2.0	high	0.5	1000000	275885	2000000	3275885	987726.0	135302.0	393418.0	987726.0	135302.0	987726.0	0.500637	257.7412635510854	341.17773091177696	-0.025206483109208682	0.19992369004623833	0.43331456013701125	0.3659584110433311	0.43331456013701125	0.3659584110433311	358622.0	61773.0	False	False	2.1673997715668127	1.8304904784355085	3275885	977616	642521	277847	145412	2223	922591	27729	49680	0	45082	108929	121822	52	9943	8754	1981080	223	0.922591	0.027729	0.04968	0.0	0.16340866665458434	0.39483480435688784	0.44156804465628796	0.00018848433223988257	0.0049715	0.004377	0.99054	0.0001115	0.2984280583720125	0.0443886155954803	0.6570993792517137	8.394678079358708e-05	0.30526102106758934	0.0842169367972319	0.6105220421351787	0.642521	0.920368	0.002223	0.5582434710114722	0.0093485	0.13441807059413663	0.9196293520682197	0.987726	0.4904289830907806	0.196709	0.39483480435688784	0.99054	0.922591	2152582.0	275.0
gdna_high_ss_0.99_nrna_high	high	2.0	high	0.99	1000000	275885	2000000	3275885	1000628.0	228230.0	287588.0	1000628.0	228230.0	1000628.0	0.99045	257.7412635510854	341.17773091177696	-0.025206483109208682	0.19992369004623833	0.20084629740924373	0.2557525334640839	0.43331456013701125	0.3659584110433311	166225.434120476	43170.48269128655	True	True	1.0046147975899806	1.2792507651541118	3275885	989898	661064	275918	238960	109	937091	44424	18485	0	45015	181848	48970	52	7792	12688	1979297	223	0.937091	0.044424	0.018485	0.0	0.16316581184189063	0.659144208637657	0.17750149518821248	0.00018848433223988257	0.003896	0.006344	0.9896485	0.0001115	0.3021772742327646	0.07294517359431116	0.6247936053921307	8.394678079358708e-05	0.30526102106758934	0.0842169367972319	0.6105220421351787	0.661064	0.936982	0.000109	0.8223100204795476	0.01024	0.05286918491870349	0.9457706848683638	1.000628	0.8272649835982384	0.143794	0.659144208637657	0.9896485	0.937091	2046752.0	275.0
