condition	true_pool	gdna	mrna	nrna	unresolved
gdna_low_ss_0.50_nrna_low	gdna	247055	1846	1078	21
gdna_low_ss_0.50_nrna_low	mrna	8687	977786	13527	0
gdna_low_ss_0.50_nrna_low	nrna	18963	10414	29879	5
gdna_low_ss_0.50_nrna_low	unresolved	0	0	0	0
gdna_low_ss_0.50_nrna_zero	gdna	247790	2110	77	23
gdna_low_ss_0.50_nrna_zero	mrna	2748	986200	11052	0
gdna_low_ss_0.50_nrna_zero	nrna	0	0	0	0
gdna_low_ss_0.50_nrna_zero	unresolved	0	0	0	0
gdna_low_ss_0.99_nrna_high	gdna	245612	1477	2890	21
gdna_low_ss_0.99_nrna_high	mrna	5754	946544	47702	0
gdna_low_ss_0.99_nrna_high	nrna	21245	45937	208651	52
gdna_low_ss_0.99_nrna_high	unresolved	0	0	0	0
gdna_low_ss_0.99_nrna_low	gdna	246921	1568	1490	21
gdna_low_ss_0.99_nrna_low	mrna	3224	981090	15686	0
gdna_low_ss_0.99_nrna_low	nrna	6963	10137	42156	5
gdna_low_ss_0.99_nrna_low	unresolved	0	0	0	0
gdna_low_ss_0.99_nrna_zero	gdna	248243	1671	63	23
gdna_low_ss_0.99_nrna_zero	mrna	2256	986684	11060	0
gdna_low_ss_0.99_nrna_zero	nrna	0	0	0	0
gdna_low_ss_0.99_nrna_zero	unresolved	0	0	0	0
gdna_med_ss_0.50_nrna_high	gdna	989701	5284	4880	135
gdna_med_ss_0.50_nrna_high	mrna	42511	928793	28696	0
gdna_med_ss_0.50_nrna_high	nrna	114640	45414	115780	51
gdna_med_ss_0.50_nrna_high	unresolved	0	0	0	0
gdna_med_ss_0.50_nrna_low	gdna	990751	6423	2743	83
gdna_med_ss_0.50_nrna_low	mrna	17684	969430	12886	0
gdna_med_ss_0.50_nrna_low	nrna	24756	10670	23825	10
gdna_med_ss_0.50_nrna_low	unresolved	0	0	0	0
gdna_med_ss_0.50_nrna_zero	gdna	992874	6739	259	128
gdna_med_ss_0.50_nrna_zero	mrna	11541	977818	10641	0
gdna_med_ss_0.50_nrna_zero	nrna	0	0	0	0
gdna_med_ss_0.50_nrna_zero	unresolved	0	0	0	0
gdna_med_ss_0.99_nrna_high	gdna	987255	4505	8105	135
gdna_med_ss_0.99_nrna_high	mrna	11006	940946	48048	0
gdna_med_ss_0.99_nrna_high	nrna	34638	45234	195962	51
gdna_med_ss_0.99_nrna_high	unresolved	0	0	0	0
gdna_med_ss_0.99_nrna_low	gdna	991856	4866	3195	83
gdna_med_ss_0.99_nrna_low	mrna	9380	975946	14674	0
gdna_med_ss_0.99_nrna_low	nrna	13963	10384	34904	10
gdna_med_ss_0.99_nrna_low	unresolved	0	0	0	0
gdna_med_ss_0.99_nrna_zero	gdna	994662	5014	196	128
gdna_med_ss_0.99_nrna_zero	mrna	7991	981124	10885	0
gdna_med_ss_0.99_nrna_zero	nrna	0	0	0	0
gdna_med_ss_0.99_nrna_zero	unresolved	0	0	0	0
gdna_zero_ss_0.50_nrna_high	gdna	0	0	0	0
gdna_zero_ss_0.50_nrna_high	mrna	76169	914583	9248	0
gdna_zero_ss_0.50_nrna_high	nrna	222000	44030	9793	62
gdna_zero_ss_0.50_nrna_high	unresolved	0	0	0	0
gdna_zero_ss_0.50_nrna_low	gdna	0	0	0	0
gdna_zero_ss_0.50_nrna_low	mrna	15347	973960	10693	0
gdna_zero_ss_0.50_nrna_low	nrna	42592	10694	5968	7
gdna_zero_ss_0.50_nrna_low	unresolved	0	0	0	0
gdna_zero_ss_0.50_nrna_zero	gdna	0	0	0	0
gdna_zero_ss_0.50_nrna_zero	mrna	2	988867	11131	0
gdna_zero_ss_0.50_nrna_zero	nrna	0	0	0	0
gdna_zero_ss_0.50_nrna_zero	unresolved	0	0	0	0
gdna_zero_ss_0.99_nrna_high	gdna	0	0	0	0
gdna_zero_ss_0.99_nrna_high	mrna	3682	945948	50370	0
gdna_zero_ss_0.99_nrna_high	nrna	15617	45479	214727	62
gdna_zero_ss_0.99_nrna_high	unresolved	0	0	0	0
gdna_zero_ss_0.99_nrna_low	gdna	0	0	0	0
gdna_zero_ss_0.99_nrna_low	mrna	772	982696	16532	0
gdna_zero_ss_0.99_nrna_low	nrna	3207	10447	45600	7
gdna_zero_ss_0.99_nrna_low	unresolved	0	0	0	0
gdna_zero_ss_0.99_nrna_zero	gdna	0	0	0	0
gdna_zero_ss_0.99_nrna_zero	mrna	0	988867	11133	0
gdna_zero_ss_0.99_nrna_zero	nrna	0	0	0	0
gdna_zero_ss_0.99_nrna_zero	unresolved	0	0	0	0
