qname	span	predicted_detail	target	read1_strand	rna_strand_if_rna	template_length	cigar	nh	nm	zw	zc	zs	zt	zg	zr
A00839:75:H7MFFDSXY:3:2167:10782:24424	chr1:152352794-152353042	nrna	nRNA chr1:152,335,378-152,364,080(+)	-	+	249	150M	1	0	0.9435742497444153	ambig_opp_strand	unspliced	RIGEL_NRNA_chr1_1_152335378_152364080	RIGEL_NRNA_chr1_1_152335378_152364080	
A00839:75:H7MFFDSXY:3:2540:30825:19398	chr1:152356877-152357116	mrna	mRNA FLG2 ENST00000388718.5	+	-	240	150M	1	0	0.8727604746818542	ambig_opp_strand	unspliced	ENST00000388718.5	ENSG00000143520.6	FLG2
A00839:75:H7MFFDSXY:3:2350:27543:29747	chr1:152355322-152355728	mrna	mRNA FLG2 ENST00000388718.5	+	-	407	150M	1	0	0.2938244938850403	ambig_opp_strand	unspliced	ENST00000388718.5	ENSG00000143520.6	FLG2
A00839:75:H7MFFDSXY:3:1415:19208:12242	chr1:152350957-152351281	mrna	mRNA FLG2 ENST00000388718.5	+	-	325	150M	1	0	0.8095831274986267	ambig_opp_strand	unspliced	ENST00000388718.5	ENSG00000143520.6	FLG2
A00839:75:H7MFFDSXY:3:2277:27462:34147	chr1:152350734-152350967	mrna	mRNA FLG2 ENST00000388718.5	+	-	234	150M	1	0	0.8730010986328125	ambig_opp_strand	unspliced	ENST00000388718.5	ENSG00000143520.6	FLG2
A00839:75:H7MFFDSXY:3:2332:26313:34287	chr1:152355006-152355266	mrna	mRNA FLG2 ENST00000388718.5	+	-	261	150M	1	0	0.8684958219528198	ambig_opp_strand	unspliced	ENST00000388718.5	ENSG00000143520.6	FLG2
A00839:75:H7MFFDSXY:3:1252:29866:24815	chr1:152355763-152355946	nrna	nRNA chr1:152,335,378-152,364,080(+)	-	+	184	150M	1	2	0.941457986831665	ambig_opp_strand	unspliced	RIGEL_NRNA_chr1_1_152335378_152364080	RIGEL_NRNA_chr1_1_152335378_152364080	
A00839:75:H7MFFDSXY:3:2459:21151:29324	chr1:152356199-152356498	mrna	mRNA FLG2 ENST00000388718.5	+	-	300	150M	1	0	0.8467934131622314	ambig_opp_strand	unspliced	ENST00000388718.5	ENSG00000143520.6	FLG2
A00839:75:H7MFFDSXY:3:1338:31114:36652	chr1:152354021-152354376	nrna	nRNA chr1:152,335,378-152,364,080(+)	-	+	356	150M	1	0	0.5179604291915894	ambig_opp_strand	unspliced	RIGEL_NRNA_chr1_1_152335378_152364080	RIGEL_NRNA_chr1_1_152335378_152364080	
A00839:75:H7MFFDSXY:3:1178:18530:17394	chr1:152350573-152350883	nrna	nRNA chr1:152,335,378-152,364,080(+)	-	+	311	150M	1	0	0.843472957611084	ambig_opp_strand	unspliced	RIGEL_NRNA_chr1_1_152335378_152364080	RIGEL_NRNA_chr1_1_152335378_152364080	
A00839:75:H7MFFDSXY:3:2578:20085:32643	chr1:152351907-152352216	nrna	nRNA chr1:152,348,734-152,360,006(-)	+	-	310	85M	1	0	0.10396528244018555	ambig_opp_strand	unspliced	RIGEL_NRNA_chr1_2_152348734_152360006	RIGEL_NRNA_chr1_2_152348734_152360006	
A00839:75:H7MFFDSXY:3:1614:1904:14403	chr1:152356369-152356740	mrna	mRNA FLG2 ENST00000388718.5	+	-	372	150M	1	0	0.49724045395851135	ambig_opp_strand	unspliced	ENST00000388718.5	ENSG00000143520.6	FLG2
A00839:75:H7MFFDSXY:3:1461:23800:18505	chr1:152353087-152353373	nrna	nRNA chr1:152,335,378-152,364,080(+)	-	+	287	150M	1	0	0.9044798016548157	ambig_opp_strand	unspliced	RIGEL_NRNA_chr1_1_152335378_152364080	RIGEL_NRNA_chr1_1_152335378_152364080	
A00839:75:H7MFFDSXY:3:2437:5791:5008	chr1:152351354-152351609	nrna	nRNA chr1:152,335,378-152,364,080(+)	-	+	256	150M	1	0	0.9388226270675659	ambig_opp_strand	unspliced	RIGEL_NRNA_chr1_1_152335378_152364080	RIGEL_NRNA_chr1_1_152335378_152364080	
A00839:75:H7MFFDSXY:3:1335:32985:28902	chr1:152352269-152352557	nrna	nRNA chr1:152,335,378-152,364,080(+)	-	+	289	150M	1	0	0.901356041431427	ambig_opp_strand	unspliced	RIGEL_NRNA_chr1_1_152335378_152364080	RIGEL_NRNA_chr1_1_152335378_152364080	
A00839:75:H7MFFDSXY:3:1328:21748:9095	chr1:152355072-152355423	nrna	nRNA chr1:152,335,378-152,364,080(+)	-	+	352	150M	1	1	0.5631239414215088	ambig_opp_strand	unspliced	RIGEL_NRNA_chr1_1_152335378_152364080	RIGEL_NRNA_chr1_1_152335378_152364080	
A00839:75:H7MFFDSXY:3:2264:27679:26725	chr1:152350955-152351267	nrna	nRNA chr1:152,335,378-152,364,080(+)	-	+	313	150M	1	0	0.8373034000396729	ambig_opp_strand	unspliced	RIGEL_NRNA_chr1_1_152335378_152364080	RIGEL_NRNA_chr1_1_152335378_152364080	
A00839:75:H7MFFDSXY:3:1316:16830:24314	chr1:152353119-152353326	mrna	mRNA FLG2 ENST00000388718.5	+	-	208	150M	1	0	0.8734947443008423	ambig_opp_strand	unspliced	ENST00000388718.5	ENSG00000143520.6	FLG2
A00839:75:H7MFFDSXY:3:1468:4969:26130	chr1:152356735-152357054	mrna	mRNA FLG2 ENST00000388718.5	+	-	320	150M	1	0	0.8195260763168335	ambig_opp_strand	unspliced	ENST00000388718.5	ENSG00000143520.6	FLG2
A00839:75:H7MFFDSXY:3:1504:21938:18223	chr1:152353597-152353921	mrna	mRNA FLG2 ENST00000388718.5	+	-	325	150M	1	0	0.8095831274986267	ambig_opp_strand	unspliced	ENST00000388718.5	ENSG00000143520.6	FLG2
A00839:75:H7MFFDSXY:3:2638:31376:11271	chr1:152357100-152357434	nrna	nRNA chr1:152,335,378-152,364,080(+)	-	+	335	150M	1	1	0.7240291237831116	ambig_opp_strand	unspliced	RIGEL_NRNA_chr1_1_152335378_152364080	RIGEL_NRNA_chr1_1_152335378_152364080	
A00839:75:H7MFFDSXY:3:1411:3586:28432	chr1:152351848-152352128	mrna	mRNA FLG2 ENST00000388718.5	+	-	281	150M	1	0	0.8602663278579712	ambig_opp_strand	unspliced	ENST00000388718.5	ENSG00000143520.6	FLG2
A00839:75:H7MFFDSXY:3:1521:13865:26944	chr1:152353746-152353934	nrna	nRNA chr1:152,335,378-152,364,080(+)	-	+	189	150M	1	1	0.9436652064323425	ambig_opp_strand	unspliced	RIGEL_NRNA_chr1_1_152335378_152364080	RIGEL_NRNA_chr1_1_152335378_152364080	
A00839:75:H7MFFDSXY:3:2575:12274:7185	chr1:152355090-152355286	mrna	mRNA FLG2 ENST00000388718.5	+	-	197	150M	1	0	0.8724725842475891	ambig_opp_strand	unspliced	ENST00000388718.5	ENSG00000143520.6	FLG2
A00839:75:H7MFFDSXY:3:2235:20229:5995	chr1:152353354-152353709	mrna	mRNA FLG2 ENST00000388718.5	+	-	356	150M	1	0	0.6630474328994751	ambig_opp_strand	unspliced	ENST00000388718.5	ENSG00000143520.6	FLG2
A00839:75:H7MFFDSXY:3:2465:24279:33552	chr1:152356628-152357056	mrna	mRNA FLG2 ENST00000388718.5	+	-	429	150M	1	0	0.2913987338542938	ambig_opp_strand	unspliced	ENST00000388718.5	ENSG00000143520.6	FLG2
A00839:75:H7MFFDSXY:3:1601:22607:1470	chr1:152354789-152355155	nrna	nRNA chr1:152,335,378-152,364,080(+)	-	+	367	136M	2	0	0.9950218200683594	multimapper	spliced_unannot	RIGEL_NRNA_chr1_1_152335378_152364080	RIGEL_NRNA_chr1_1_152335378_152364080	
A00839:75:H7MFFDSXY:3:1601:9851:28792	chr1:152356353-152356527	nrna	nRNA chr1:152,335,378-152,364,080(+)	-	+	175	150M	1	0	0.9349682927131653	ambig_opp_strand	unspliced	RIGEL_NRNA_chr1_1_152335378_152364080	RIGEL_NRNA_chr1_1_152335378_152364080	
A00839:75:H7MFFDSXY:3:1573:5719:29434	chr1:152353213-152353593	mrna	mRNA FLG2 ENST00000388718.5	+	-	381	150M	1	0	0.3850485384464264	ambig_opp_strand	unspliced	ENST00000388718.5	ENSG00000143520.6	FLG2
A00839:75:H7MFFDSXY:3:1527:29731:32816	chr1:152354127-152354438	mrna	mRNA FLG2 ENST00000388718.5	+	-	312	150M	1	0	0.8316794037818909	ambig_opp_strand	unspliced	ENST00000388718.5	ENSG00000143520.6	FLG2
A00839:75:H7MFFDSXY:3:1476:15329:21245	chr1:152354602-152354947	mrna	mRNA FLG2 ENST00000388718.5	+	-	346	150M	1	0	0.7315328121185303	ambig_opp_strand	unspliced	ENST00000388718.5	ENSG00000143520.6	FLG2
A00839:75:H7MFFDSXY:3:2338:1054:34444	chr1:152351436-152351822	nrna	nRNA chr1:152,335,378-152,364,080(+)	-	+	387	150M	1	0	0.1692512035369873	ambig_opp_strand	unspliced	RIGEL_NRNA_chr1_1_152335378_152364080	RIGEL_NRNA_chr1_1_152335378_152364080	
A00839:75:H7MFFDSXY:3:1525:5629:8923	chr1:152351638-152352027	mrna	mRNA FLG2 ENST00000388718.5	+	-	390	150M	1	0	0.3101215362548828	ambig_opp_strand	unspliced	ENST00000388718.5	ENSG00000143520.6	FLG2
A00839:75:H7MFFDSXY:3:1653:6271:8030	chr1:152352825-152353060	nrna	nRNA chr1:152,335,378-152,364,080(+)	-	+	236	150M	1	0	0.9478253126144409	ambig_opp_strand	unspliced	RIGEL_NRNA_chr1_1_152335378_152364080	RIGEL_NRNA_chr1_1_152335378_152364080	
A00839:75:H7MFFDSXY:3:2648:4345:26271	chr1:152350455-152350791	mrna	mRNA FLG2 ENST00000388718.5	+	-	337	150M	1	0	0.7736367583274841	ambig_opp_strand	unspliced	ENST00000388718.5	ENSG00000143520.6	FLG2
A00839:75:H7MFFDSXY:3:1255:22959:33051	chr1:152356998-152357280	nrna	nRNA chr1:152,335,378-152,364,080(+)	-	+	283	150M	1	0	0.9098848104476929	ambig_opp_strand	unspliced	RIGEL_NRNA_chr1_1_152335378_152364080	RIGEL_NRNA_chr1_1_152335378_152364080	
A00839:75:H7MFFDSXY:3:1127:5312:27821	chr1:152350701-152351057	nrna	nRNA chr1:152,335,378-152,364,080(+)	-	+	357	150M	1	1	0.5101823210716248	ambig_opp_strand	unspliced	RIGEL_NRNA_chr1_1_152335378_152364080	RIGEL_NRNA_chr1_1_152335378_152364080	
A00839:75:H7MFFDSXY:3:2151:3378:3176	chr1:152353804-152354000	mrna	mRNA FLG2 ENST00000388718.5	+	-	197	150M	1	0	0.8724725842475891	ambig_opp_strand	unspliced	ENST00000388718.5	ENSG00000143520.6	FLG2
A00839:75:H7MFFDSXY:3:2610:4915:10942	chr1:152350655-152351072	mrna	mRNA FLG2 ENST00000388718.5	+	-	418	150M	1	0	0.2670958340167999	ambig_opp_strand	unspliced	ENST00000388718.5	ENSG00000143520.6	FLG2
A00839:75:H7MFFDSXY:3:2458:19515:30937	chr1:152352100-152352482	mrna	mRNA FLG2 ENST00000388718.5	+	-	383	150M	1	0	0.3479793965816498	ambig_opp_strand	unspliced	ENST00000388718.5	ENSG00000143520.6	FLG2
A00839:75:H7MFFDSXY:3:1241:10474:25332	chr1:152354580-152354918	nrna	nRNA chr1:152,335,378-152,364,080(+)	-	+	339	108M	1	0	0.6985422372817993	ambig_opp_strand	unspliced	RIGEL_NRNA_chr1_1_152335378_152364080	RIGEL_NRNA_chr1_1_152335378_152364080	
A00839:75:H7MFFDSXY:3:1171:14561:25989	chr1:152352191-152352476	mrna	mRNA FLG2 ENST00000388718.5	+	-	286	150M	1	0	0.8576857447624207	ambig_opp_strand	unspliced	ENST00000388718.5	ENSG00000143520.6	FLG2
A00839:75:H7MFFDSXY:3:2610:9435:30765	chr1:152353557-152353926	mrna	mRNA FLG2 ENST00000388718.5	+	-	370	150M	1	0	0.5146966576576233	ambig_opp_strand	unspliced	ENST00000388718.5	ENSG00000143520.6	FLG2
A00839:75:H7MFFDSXY:3:2612:2989:1846	chr1:152354514-152354724	nrna	nRNA chr1:152,335,378-152,364,080(+)	-	+	211	146M	1	0	0.9490430951118469	ambig_opp_strand	unspliced	RIGEL_NRNA_chr1_1_152335378_152364080	RIGEL_NRNA_chr1_1_152335378_152364080	
A00839:75:H7MFFDSXY:3:1145:24614:9330	chr1:152351253-152351828	mrna	mRNA FLG2 ENST00000388718.5	+	-	576	150M	1	1	0.6307064294815063	ambig_opp_strand	unspliced	ENST00000388718.5	ENSG00000143520.6	FLG2
A00839:75:H7MFFDSXY:3:1635:13376:11945	chr1:152357346-152357613	mrna	mRNA FLG2 ENST00000388718.5	+	-	268	150M	1	0	0.8659822940826416	ambig_opp_strand	unspliced	ENST00000388718.5	ENSG00000143520.6	FLG2
A00839:75:H7MFFDSXY:3:2578:29948:4539	chr1:152352734-152353038	nrna	nRNA chr1:152,335,378-152,364,080(+)	-	+	305	150M	1	0	0.864242434501648	ambig_opp_strand	unspliced	RIGEL_NRNA_chr1_1_152335378_152364080	RIGEL_NRNA_chr1_1_152335378_152364080	
A00839:75:H7MFFDSXY:3:1375:19524:34303	chr1:152357227-152357549	mrna	mRNA FLG2 ENST00000388718.5	+	-	323	150M	1	0	0.8134310841560364	ambig_opp_strand	unspliced	ENST00000388718.5	ENSG00000143520.6	FLG2
A00839:75:H7MFFDSXY:3:2171:13232:30201	chr1:152350376-152350717	mrna	mRNA FLG2 ENST00000388718.5	+	-	342	150M	1	0	0.7547404170036316	ambig_opp_strand	unspliced	ENST00000388718.5	ENSG00000143520.6	FLG2
A00839:75:H7MFFDSXY:3:2208:3558:32393	chr1:152354252-152354528	mrna	mRNA FLG2 ENST00000388718.5	+	-	277	150M	1	0	0.8620893359184265	ambig_opp_strand	unspliced	ENST00000388718.5	ENSG00000143520.6	FLG2
A00839:75:H7MFFDSXY:3:2123:21178:4633	chr1:152351607-152351944	mrna	mRNA FLG2 ENST00000388718.5	+	-	338	150M	1	1	0.7717568278312683	ambig_opp_strand	unspliced	ENST00000388718.5	ENSG00000143520.6	FLG2
A00839:75:H7MFFDSXY:3:2333:17074:25645	chr1:152354045-152354181	mrna	mRNA FLG2 ENST00000388718.5	+	-	137	137M	1	0	0.8365134596824646	ambig_opp_strand	unspliced	ENST00000388718.5	ENSG00000143520.6	FLG2
A00839:75:H7MFFDSXY:3:2515:29297:21574	chr1:152356622-152356876	mrna	mRNA FLG2 ENST00000388718.5	+	-	255	150M	1	0	0.86994469165802	ambig_opp_strand	unspliced	ENST00000388718.5	ENSG00000143520.6	FLG2
A00839:75:H7MFFDSXY:3:1135:21847:21919	chr1:152352127-152352399	nrna	nRNA chr1:152,335,378-152,364,080(+)	-	+	273	42M	1	0	0.923162579536438	ambig_opp_strand	unspliced	RIGEL_NRNA_chr1_1_152335378_152364080	RIGEL_NRNA_chr1_1_152335378_152364080	
A00839:75:H7MFFDSXY:3:1648:20952:6872	chr1:152351556-152351725	mrna	mRNA FLG2 ENST00000388718.5	+	-	170	150M	1	0	0.8669852018356323	ambig_opp_strand	unspliced	ENST00000388718.5	ENSG00000143520.6	FLG2
A00839:75:H7MFFDSXY:3:1534:22327:27007	chr1:152356234-152356562	mrna	mRNA FLG2 ENST00000388718.5	+	-	329	150M	1	0	0.8003144264221191	ambig_opp_strand	unspliced	ENST00000388718.5	ENSG00000143520.6	FLG2
A00839:75:H7MFFDSXY:3:1569:24704:34663	chr1:26340182-152884504	mrna	mRNA SMCP ENST00000368765.4	+	-	126544323	150M	1	0	1.0	ambig_opp_strand	spliced_implicit	ENST00000368765.4	ENSG00000163206.6	SMCP
A00839:75:H7MFFDSXY:3:2123:8169:34898	chr1:152353313-152353515	nrna	nRNA chr1:152,335,378-152,364,080(+)	-	+	203	150M	1	0	0.9476247429847717	ambig_opp_strand	unspliced	RIGEL_NRNA_chr1_1_152335378_152364080	RIGEL_NRNA_chr1_1_152335378_152364080	
A00839:75:H7MFFDSXY:3:1508:12771:35227	chr1:152355081-152355318	nrna	nRNA chr1:152,335,378-152,364,080(+)	-	+	238	150M	1	0	0.9478266835212708	ambig_opp_strand	unspliced	RIGEL_NRNA_chr1_1_152335378_152364080	RIGEL_NRNA_chr1_1_152335378_152364080	
A00839:75:H7MFFDSXY:3:2247:18313:2613	chr1:152355334-152355680	nrna	nRNA chr1:152,335,378-152,364,080(+)	-	+	347	150M	1	0	0.6155070066452026	ambig_opp_strand	unspliced	RIGEL_NRNA_chr1_1_152335378_152364080	RIGEL_NRNA_chr1_1_152335378_152364080	
A00839:75:H7MFFDSXY:3:2560:23095:16939	chr1:152353864-152354113	mrna	mRNA FLG2 ENST00000388718.5	+	-	250	150M	1	4	0.8714480400085449	ambig_opp_strand	unspliced	ENST00000388718.5	ENSG00000143520.6	FLG2
A00839:75:H7MFFDSXY:3:1240:3369:36980	chr1:152352344-152352713	nrna	nRNA chr1:152,335,378-152,364,080(+)	-	+	370	145M	1	0	0.3355644941329956	ambig_opp_strand	unspliced	RIGEL_NRNA_chr1_1_152335378_152364080	RIGEL_NRNA_chr1_1_152335378_152364080	
A00839:75:H7MFFDSXY:3:1341:4110:2159	chr1:152353884-152354097	nrna	nRNA chr1:152,335,378-152,364,080(+)	-	+	214	150M	1	0	0.9492527842521667	ambig_opp_strand	unspliced	RIGEL_NRNA_chr1_1_152335378_152364080	RIGEL_NRNA_chr1_1_152335378_152364080	
A00839:75:H7MFFDSXY:3:2209:31828:12211	chr1:152356855-152357037	mrna	mRNA FLG2 ENST00000388718.5	+	-	183	1S149M	1	2	0.8701895475387573	ambig_opp_strand	unspliced	ENST00000388718.5	ENSG00000143520.6	FLG2
A00839:75:H7MFFDSXY:3:2415:24017:27743	chr1:152354194-152354523	nrna	nRNA chr1:152,335,378-152,364,080(+)	-	+	330	150M	1	0	0.7619595527648926	ambig_opp_strand	unspliced	RIGEL_NRNA_chr1_1_152335378_152364080	RIGEL_NRNA_chr1_1_152335378_152364080	
A00839:75:H7MFFDSXY:3:2202:8585:12790	chr1:152350950-152351282	mrna	mRNA FLG2 ENST00000388718.5	+	-	333	150M	1	0	0.7880931496620178	ambig_opp_strand	unspliced	ENST00000388718.5	ENSG00000143520.6	FLG2
A00839:75:H7MFFDSXY:3:1403:2519:26240	chr1:152352991-152353396	mrna	mRNA FLG2 ENST00000388718.5	+	-	406	150M	1	0	0.2740536630153656	ambig_opp_strand	unspliced	ENST00000388718.5	ENSG00000143520.6	FLG2
A00839:75:H7MFFDSXY:3:2629:30852:1564	chr1:152354806-152355139	mrna	mRNA FLG2 ENST00000388718.5	+	-	334	150M	1	0	0.7864818572998047	ambig_opp_strand	unspliced	ENST00000388718.5	ENSG00000143520.6	FLG2
A00839:75:H7MFFDSXY:3:2103:30355:18458	chr1:152351240-152351450	mrna	mRNA FLG2 ENST00000388718.5	+	-	211	150M	1	0	0.8734250664710999	ambig_opp_strand	unspliced	ENST00000388718.5	ENSG00000143520.6	FLG2
A00839:75:H7MFFDSXY:3:1357:17282:1172	chr1:152354031-152354316	mrna	mRNA FLG2 ENST00000388718.5	+	-	286	150M	1	0	0.8576857447624207	ambig_opp_strand	unspliced	ENST00000388718.5	ENSG00000143520.6	FLG2
