condition	true_pool	pred_pool	zf	count
gdna_high_ss_0.50_nrna_high	mrna	gdna	5	50417
gdna_high_ss_0.50_nrna_high	mrna	nrna	9	9739
gdna_high_ss_0.50_nrna_high	nrna	gdna	5	122084
gdna_high_ss_0.50_nrna_high	nrna	nrna	25	108669
gdna_high_ss_0.50_nrna_high	nrna	mrna	3	45080
gdna_high_ss_0.50_nrna_high	nrna	unresolved	64	52
gdna_high_ss_0.50_nrna_high	gdna	gdna	37	1759164
gdna_high_ss_0.50_nrna_high	gdna	gdna	5	221989
gdna_high_ss_0.50_nrna_high	gdna	mrna	3	9882
gdna_high_ss_0.50_nrna_high	gdna	nrna	25	8385
gdna_high_ss_0.50_nrna_high	gdna	nrna	9	357
gdna_high_ss_0.50_nrna_high	gdna	unresolved	64	223
gdna_high_ss_0.99_nrna_high	mrna	mrna	3	935899
gdna_high_ss_0.99_nrna_high	mrna	nrna	25	35020
gdna_high_ss_0.99_nrna_high	mrna	gdna	5	18648
gdna_high_ss_0.99_nrna_high	mrna	nrna	9	10433
gdna_high_ss_0.99_nrna_high	nrna	nrna	25	181557
gdna_high_ss_0.99_nrna_high	nrna	gdna	5	49323
gdna_high_ss_0.99_nrna_high	nrna	mrna	3	44953
gdna_high_ss_0.99_nrna_high	nrna	unresolved	64	52
gdna_high_ss_0.99_nrna_high	gdna	gdna	37	1759164
gdna_high_ss_0.99_nrna_high	gdna	gdna	5	220327
gdna_high_ss_0.99_nrna_high	gdna	nrna	25	12320
gdna_high_ss_0.99_nrna_high	gdna	mrna	3	7719
gdna_high_ss_0.99_nrna_high	gdna	nrna	9	247
gdna_high_ss_0.99_nrna_high	gdna	unresolved	64	223
