condition	gdna_label	gdna_rate	nrna_label	strand_specificity	truth_mrna	truth_nrna	truth_gdna	truth_total_manifest	loci_mrna	loci_nrna	loci_gdna	quant_mrna_total	nrna_quant_total	gene_quant_total	strand_model_estimate	rna_fl_mean	gdna_fl_mean	gdna_fl_rel_error	rho_intergenic	rho_intron	rho_exon_intron	rho_intron_uncorrected	rho_exon_intron_uncorrected	rho_intron_estimated_fragments	rho_exon_intron_estimated_fragments	rho_intron_strand_active	rho_exon_intron_strand_active	rho_intron_over_intergenic	rho_exon_intron_over_intergenic	total_fragments	pred_mrna	mrna_same_gene_wrong_tx	mrna_exact_tx	pred_nrna	mrna_wrong_gene	mrna_to_mrna	mrna_to_nrna	mrna_to_gdna	mrna_to_unresolved	nrna_to_mrna	nrna_to_nrna	nrna_to_gdna	nrna_to_unresolved	gdna_to_mrna	gdna_to_nrna	gdna_to_gdna	gdna_to_unresolved	mrna_to_mrna_rate	mrna_to_nrna_rate	mrna_to_gdna_rate	mrna_to_unresolved_rate	nrna_to_mrna_rate	nrna_to_nrna_rate	nrna_to_gdna_rate	nrna_to_unresolved_rate	gdna_to_mrna_rate	gdna_to_nrna_rate	gdna_to_gdna_rate	gdna_to_unresolved_rate	assigned_mrna_fraction	assigned_nrna_fraction	assigned_gdna_fraction	assigned_unresolved_fraction	truth_mrna_fraction	truth_nrna_fraction	truth_gdna_fraction	mrna_exact_tx_rate	mrna_gene_rate	mrna_wrong_gene_rate	nrna_rna_compatible_rate	gdna_to_rna_rate	rna_to_gdna_rate	overall_pool_accuracy	loci_mrna_recovery	loci_nrna_recovery	loci_gdna_recovery	winner_nrna_recall	winner_gdna_recall	winner_mrna_recall	pred_gdna	pred_unresolved
gdna_low_ss_0.50_nrna_low	low	0.25	low	0.5	1000000	59261	250000	1309261	1000803.0	33263.0	55346.0	1000803.0	33263.0	1000803.0	0.500554	257.5624660094725	334.6928797333105	-0.043734629333398514	0.024981519008124765	0.07576675495576632	0.06128275280638593	0.07576675495576632	0.06128275280638593	62817.0	10160.0	False	False	3.032912247294675	2.4531235585175937	1309261	989943	283729	691393	44123	2539	977661	13525	8814	0	10422	29552	19282	5	1860	1046	247073	21	0.977661	0.013525	0.008814	0.0	0.17586608393378445	0.4986753514115523	0.3253741921331061	8.437252155717925e-05	0.00744	0.004184	0.988292	8.4e-05	0.7561082167726679	0.03370069069497984	0.21017123400147106	1.9858530881161204e-05	0.7637896492754309	0.045262938405711314	0.19094741231885773	0.691393	0.975122	0.002539	0.6745414353453367	0.011624	0.026524152215554053	0.9580106640310831	1.000803	0.5612966369112907	0.221384	0.4986753514115523	0.988292	0.977661	275169.0	26.0
gdna_low_ss_0.99_nrna_low	low	0.25	low	0.99	1000000	59261	250000	1309261	1003712.0	48713.0	36987.0	1003712.0	48713.0	1003712.0	0.989789	257.5624660094725	334.6928797333105	-0.043734629333398514	0.024981519008124765	0.025151846213683875	0.03826647117999862	0.07576675495576632	0.06128275280638593	20852.99185015096	6344.156053451186	True	True	1.0068181284534266	1.5317912080347549	1309261	992621	274832	705943	59804	114	980889	15954	3157	0	10152	42259	6845	5	1580	1591	246808	21	0.980889	0.015954	0.003157	0.0	0.17130996776969676	0.7130996776969677	0.1155059820117784	8.437252155717925e-05	0.00632	0.006364	0.987232	8.4e-05	0.7581536454534276	0.04567767618526787	0.19614881983042343	1.9858530881161204e-05	0.7637896492754309	0.045262938405711314	0.19094741231885773	0.705943	0.980775	0.000114	0.8844096454666645	0.012684	0.009442432035164138	0.9699792478352292	1.003712	0.8220077285229747	0.147948	0.7130996776969677	0.987232	0.980889	256810.0	26.0
gdna_med_ss_0.50_nrna_low	med	1.0	low	0.5	1000000	59261	1000000	2059261	997326.0	28723.0	153064.0	997326.0	28723.0	997326.0	0.500884	257.6668925142125	346.7087008092348	-0.009403711973614821	0.10001954658423759	0.15050526901080327	0.13249013514008243	0.15050526901080327	0.13249013514008243	124357.0	22737.0	False	False	1.5047585612082939	1.3246424290525827	2059261	986538	285135	681753	39511	2516	969404	12886	17710	0	10658	23825	24768	10	6476	2800	990641	83	0.969404	0.012886	0.01771	0.0	0.17984846695128331	0.4020350652199592	0.4179477227856432	0.0001687450431143585	0.006476	0.0028	0.990641	8.3e-05	0.4790738036606336	0.01918698018366783	0.5016940543233713	4.516183232722807e-05	0.48561110029277493	0.028777799414450134	0.48561110029277493	0.681753	0.966888	0.002516	0.5818835321712424	0.009276	0.04010154249047213	0.9633892935378274	0.997326	0.48468638733737196	0.153064	0.4020350652199592	0.990641	0.969404	1033119.0	93.0
gdna_med_ss_0.99_nrna_low	med	1.0	low	0.99	1000000	59261	1000000	2059261	1002345.0	41903.0	134865.0	1002345.0	41903.0	1002345.0	0.990619	257.6668925142125	346.7087008092348	-0.009403711973614821	0.10001954658423759	0.10034620168386277	0.11048509109727944	0.15050526901080327	0.13249013514008243	82912.39692016628	18960.65328654687	True	True	1.00326591262189	1.104634992563455	2059261	991376	283807	692177	52872	130	976114	14534	9352	0	10388	35077	13786	10	4874	3261	991782	83	0.976114	0.014534	0.009352	0.0	0.17529235078719563	0.5919069877322354	0.23263191643745465	0.0001687450431143585	0.004874	0.003261	0.991782	8.3e-05	0.48142319016385005	0.025675230094679598	0.49285641790914314	4.516183232722807e-05	0.48561110029277493	0.028777799414450134	0.48561110029277493	0.692177	0.975984	0.00013	0.767199338519431	0.008135	0.02184353053685541	0.9726659223867203	1.002345	0.7070923541620965	0.134865	0.5919069877322354	0.991782	0.976114	1014920.0	93.0
gdna_high_ss_0.50_nrna_low	high	2.0	low	0.5	1000000	59261	2000000	3059261	989367.0	23062.0	286887.0	989367.0	23062.0	989367.0	0.500657	257.8301473370045	348.9915568653522	-0.0028812660989936895	0.19999329487751302	0.2512005832817867	0.2322755343553157	0.2512005832817867	0.2322755343553157	207423.0	40119.0	False	False	1.2560450260876788	1.1614166089796867	3059261	978842	274013	681105	33587	2322	957440	11951	30609	0	10225	17901	31126	9	11177	3735	1984854	234	0.95744	0.011951	0.030609	0.0	0.17254180658443158	0.30207050167901317	0.5252358211977524	0.00015187053880292266	0.0055885	0.0018675	0.992427	0.000117	0.3199602779887038	0.010978795205770282	0.6689814958579866	7.943094753929135e-05	0.32687632732218663	0.0193710180334401	0.6537526546443733	0.681105	0.955118	0.002322	0.47461230826344475	0.007456	0.05828119792949991	0.9676176697575003	0.989367	0.3891598184303336	0.1434435	0.30207050167901317	0.992427	0.95744	2046589.0	243.0
gdna_high_ss_0.99_nrna_low	high	2.0	low	0.99	1000000	59261	2000000	3059261	999051.0	36060.0	264205.0	999051.0	36060.0	999051.0	0.989942	257.8301473370045	348.9915568653522	-0.0028812660989936895	0.19999329487751302	0.2007048436493382	0.21095808735234878	0.2512005832817867	0.2322755343553157	165727.32531268417	36437.016623292904	True	True	1.0035578631386666	1.0548258004427158	3059261	988262	272772	697067	46849	109	969948	13301	16751	0	10085	29324	19843	9	8229	4224	1987313	234	0.969948	0.013301	0.016751	0.0	0.17017937598083055	0.49482796442854493	0.33484078905182163	0.00015187053880292266	0.0041145	0.002112	0.9936565	0.000117	0.3230394529920788	0.01531382905871712	0.6615672870016648	7.943094753929135e-05	0.32687632732218663	0.0193710180334401	0.6537526546443733	0.697067	0.969839	0.000109	0.6650073404093755	0.0062265	0.03454672644419081	0.9762439360355327	0.999051	0.6084946254703768	0.1321025	0.49482796442854493	0.9936565	0.969948	2023907.0	243.0
gdna_zero_ss_0.50_nrna_high	zero	0.0	high	0.5	1000000	275885	0	1275885	968178.0	0.0	307645.0	968178.0	0.0	968178.0	0.502515	257.5035247624389	250.13583983397203	-0.2853261719029371	0.0	0.2266808287707257	0.22505588600655493	0.2266808287707257	0.22505588600655493	192562.0	27823.0	False	False			1275885	958951	274207	638905	9227	1938	915050	9227	75723	0	43901	0	231922	62	0	0	0	0	0.91505	0.009227	0.075723	0.0	0.15912789749352085	0.0	0.8406473711872701	0.00022473131920909073					0.7515967348154419	0.0072318429952542744	0.24112282846808294	4.859372122095643e-05	0.7837696971122006	0.21623030288779946	0.0	0.638905	0.913112	0.001938	0.15912789749352085		0.24112282846808294	0.7171884613425191	0.968178	0.0		0.0		0.91505	307645.0	62.0
gdna_zero_ss_0.99_nrna_high	zero	0.0	high	0.99	1000000	275885	0	1275885	989081.0	268199.0	18543.0	989081.0	268199.0	989081.0	0.990476	257.5035247624389	250.13583983397203	-0.2853261719029371	0.0	7.78846905559283e-05	0.07749003261161726	0.2266808287707257	0.22505588600655493	66.16188878504536	9579.865764053964	True	True			1275885	978297	272812	660846	278983	110	933768	62308	3924	0	44529	216675	14619	62	0	0	0	0	0.933768	0.062308	0.003924	0.0	0.16140420827518712	0.7853815901553184	0.05298947025028544	0.00022473131920909073					0.7667595433757745	0.21865842140945305	0.014533441493551534	4.859372122095643e-05	0.7837696971122006	0.21623030288779946	0.0	0.660846	0.933658	0.00011	0.9467857984305055		0.014533441493551534	0.9016823616548514	0.989081	0.9721405658154666		0.7853815901553184		0.933768	18543.0	62.0
gdna_low_ss_0.50_nrna_high	low	0.25	high	0.5	1000000	275885	250000	1525885	987078.0	98545.0	220694.0	987078.0	98545.0	987078.0	0.501211	257.7784414136847	303.574964306819	-0.1326429591233742	0.024939202524299035	0.2549017689032901	0.21222267303104303	0.2549017689032901	0.21222267303104303	213270.0	31854.0	False	False	10.220927018613823	8.50960141264613	1525885	976976	279567	647756	108647	2253	929576	22916	47508	0	45926	84781	145126	52	1474	950	247555	21	0.929576	0.022916	0.047508	0.0	0.1664679123547855	0.3073055802236439	0.5260380230893307	0.00018848433223988257	0.005896	0.0038	0.99022	8.4e-05	0.6402684343839804	0.07120261356524246	0.28848111096183526	4.78410889418272e-05	0.6553573827647562	0.18080327154405476	0.16383934569118905	0.647756	0.927323	0.002253	0.47377349257842943	0.009696	0.15098069183351165	0.827003345599439	0.987078	0.3571959330880621	0.882776	0.3073055802236439	0.99022	0.929576	440189.0	73.0
gdna_low_ss_0.99_nrna_high	low	0.25	high	0.99	1000000	275885	250000	1525885	1001567.0	252182.0	52568.0	1001567.0	252182.0	1001567.0	0.990125	257.7784414136847	303.574964306819	-0.1326429591233742	0.024939202524299035	0.025252892363179832	0.09005561208294795	0.2549017689032901	0.21222267303104303	21128.469910064436	13517.082912581225	True	True	1.0125781824248454	3.611006085507505	1525885	990717	271865	671498	263032	104	943467	50878	5655	0	45782	209213	20838	52	1468	2941	245570	21	0.943467	0.050878	0.005655	0.0	0.1659459557424289	0.7583340884788952	0.07553147144643602	0.00018848433223988257	0.005872	0.011764	0.98228	8.4e-05	0.649273700180551	0.17237996310337936	0.17829849562712785	4.78410889418272e-05	0.6553573827647562	0.18080327154405476	0.16383934569118905	0.671498	0.943363	0.000104	0.9242800442213241	0.017636	0.02076441058559353	0.9163534604508203	1.001567	0.9140837667868859	0.210272	0.7583340884788952	0.98228	0.943467	272063.0	73.0
gdna_med_ss_0.50_nrna_high	med	1.0	high	0.5	1000000	275885	1000000	2275885	989578.0	138167.0	268087.0	989578.0	138167.0	989578.0	0.500781	257.8287576525227	332.82091196490745	-0.04908310867169299	0.09998975230343332	0.3318985542797679	0.27110691119505614	0.3318985542797679	0.27110691119505614	275356.0	44634.0	False	False	3.31932569722319	2.7113469625601545	2275885	979358	276739	649760	148387	2243	928742	28361	42897	0	45334	115167	115333	51	5282	4859	989724	135	0.928742	0.028361	0.042897	0.0	0.16432209072620838	0.4174456748282799	0.41804737481196874	0.00018485963354296174	0.005282	0.004859	0.989724	0.000135	0.4303196339006584	0.06519969154856242	0.5043989481015078	8.172644927138234e-05	0.439389512211733	0.12122097557653397	0.439389512211733	0.64976	0.926499	0.002243	0.5817677655544883	0.010141	0.1240158791740635	0.8935570118876832	0.989578	0.5008137448574588	0.268087	0.4174456748282799	0.989724	0.928742	1147954.0	186.0
gdna_med_ss_0.99_nrna_high	med	1.0	high	0.99	1000000	275885	1000000	2275885	1004131.0	238490.0	153211.0	1004131.0	238490.0	1004131.0	0.989897	257.8287576525227	332.82091196490745	-0.04908310867169299	0.09998975230343332	0.09973432069880647	0.1561982653073598	0.3318985542797679	0.27110691119505614	82743.48669561117	25715.88213298132	True	True	0.9974454221683468	1.5621427367211957	2275885	993357	277637	665635	249264	138	943410	45461	11129	0	45437	195665	34732	51	4510	8138	987217	135	0.94341	0.045461	0.011129	0.0	0.16469543469199122	0.7092266705330119	0.12589303514145386	0.00018485963354296174	0.00451	0.008138	0.987217	0.000135	0.43647064768211047	0.10952398737194542	0.4539236384966727	8.172644927138234e-05	0.439389512211733	0.12122097557653397	0.439389512211733	0.665635	0.943272	0.000138	0.8739221052250031	0.012648	0.03594446207926263	0.9342704046997102	1.004131	0.864454392228646	0.153211	0.7092266705330119	0.987217	0.94341	1033078.0	186.0
gdna_high_ss_0.50_nrna_high	high	2.0	high	0.5	1000000	275885	2000000	3275885	986985.0	134971.0	394490.0	986985.0	134971.0	986985.0	0.500637	257.7412635510854	341.17773091177696	-0.025206483109208682	0.19992369004623833	0.43331456013701125	0.3659584110433311	0.43331456013701125	0.3659584110433311	358622.0	61773.0	False	False	2.1673997715668127	1.8304904784355085	3275885	976889	277680	641976	145067	2271	921927	27656	50417	0	45080	108669	122084	52	9882	8742	1981153	223	0.921927	0.027656	0.050417	0.0	0.16340141725719048	0.39389238269568844	0.4425177157148812	0.00018848433223988257	0.004941	0.004371	0.9905765	0.0001115	0.29820613360969633	0.04428330054321199	0.6574266190662981	8.394678079358708e-05	0.30526102106758934	0.0842169367972319	0.6105220421351787	0.641976	0.919656	0.002271	0.5572937999528789	0.009312	0.1352010565215517	0.9193695749392912	0.986985	0.4892292078220998	0.197245	0.39389238269568844	0.9905765	0.921927	2153654.0	275.0
gdna_high_ss_0.99_nrna_high	high	2.0	high	0.99	1000000	275885	2000000	3275885	999251.0	228897.0	288298.0	999251.0	228897.0	999251.0	0.99045	257.7412635510854	341.17773091177696	-0.025206483109208682	0.19992369004623833	0.20084629740924373	0.2557525334640839	0.43331456013701125	0.3659584110433311	166225.434120476	43170.48269128655	True	True	1.0046147975899806	1.2792507651541118	3275885	988571	275438	660356	239577	105	935899	45453	18648	0	44953	181557	49323	52	7719	12567	1979491	223	0.935899	0.045453	0.018648	0.0	0.16294108052268155	0.658089421316853	0.17878101382822553	0.00018848433223988257	0.0038595	0.0062835	0.9897455	0.0001115	0.3017721928578079	0.07313351964430986	0.6250103407170887	8.394678079358708e-05	0.30526102106758934	0.0842169367972319	0.6105220421351787	0.660356	0.935794	0.000105	0.8210305018395346	0.010143	0.05327361008241338	0.9453772034122077	0.999251	0.8296826576290846	0.144149	0.658089421316853	0.9897455	0.935899	2047462.0	275.0
