locus_key	qname	true_source	predicted_detail	chrom	fragment_start_1based	fragment_end	read_start_1based	read_end	cigar	template_length	mapq	is_reverse	mate_is_reverse	nh	nm	as	zf	zw	zc	zs	zl	zt	zg	zr	target_label
chr8:22460	A00839:75:H7MFFDSXY:3:1106:31195:22795	gdna	nrna	chr8	144057560	144058049	144057560	144057709	150M	490	255	False	True	1	0	298	25	1.0	ambig_same_strand	spliced_implicit	22460	RIGEL_NRNA_chr8_2_144051265_144060692	RIGEL_NRNA_chr8_2_144051265_144060692		nRNA chr8:144,051,265-144,060,692(-)
chr3:16186	A00839:75:H7MFFDSXY:3:1521:2754:27806	gdna	mrna	chr3	93470611	113420085	93470611	93470760	150M	19949475	255	False	False	1	9	130	3	1.0	ambig_opp_strand	spliced_implicit	16186	ENST00000393845.9	ENSG00000206530.11	CFAP44	mRNA CFAP44 ENST00000393845.9
chr6:19392	A00839:75:H7MFFDSXY:3:1164:22607:5102	gdna	nrna	chr6	33417861	33418272	33417861	33418010	150M	412	255	False	True	1	0	298	25	1.0	ambig_same_strand	spliced_implicit	19392	RIGEL_NRNA_chr6_2_33416441_33418317	RIGEL_NRNA_chr6_2_33416441_33418317		nRNA chr6:33,416,441-33,418,317(-)
chr6:19689	A00839:75:H7MFFDSXY:3:2462:32199:29324	gdna	nrna	chr6	70149718	70150217	70149718	70149867	150M	500	255	False	True	1	0	296	25	1.0	ambig_same_strand	spliced_implicit	19689	RIGEL_NRNA_chr6_1_69866555_70212468	RIGEL_NRNA_chr6_1_69866555_70212468		nRNA chr6:69,866,555-70,212,468(+)
chr3:16732	A00839:75:H7MFFDSXY:3:1429:30255:16000	gdna	mrna	chr3	196782753	196806610	196803079	196806610	86M2187N32M1195N32M	-23858	255	True	False	1	6	282	3	1.0	unambig	spliced_annot	16732	ENST00000327134.7	ENSG00000180370.10	PAK2	mRNA PAK2 ENST00000327134.7
chr6:19030	A00839:75:H7MFFDSXY:3:1477:29631:27759	gdna	mrna	chr6	10393332	10393600	10393332	10393481	150M	269	255	False	True	1	0	172	3	1.0	ambig_same_strand	spliced_implicit	19030	ENST00000461628.5	ENSG00000137203.15	TFAP2A	mRNA TFAP2A ENST00000461628.5
chr17:9692	A00839:75:H7MFFDSXY:3:1131:2193:24580	gdna	mrna	chr17	36599949	36600308	36599949	36600098	150M	360	255	False	True	1	0	296	3	1.0	ambig_same_strand	spliced_annot	9692	ENST00000617959.1	ENSG00000278535.5	DHRS11	mRNA DHRS11 ENST00000617959.1
chr17:9986	A00839:75:H7MFFDSXY:3:1145:2320:1344	gdna	mrna	chr17	47819951	47820370	47820221	47820370	150M	-420	255	True	False	1	0	298	3	1.0	ambig_same_strand	spliced_annot	9986	ENST00000585051.1	ENSG00000006025.13	OSBPL7	mRNA OSBPL7 ENST00000585051.1
chr3:16636	A00839:75:H7MFFDSXY:3:2130:5999:25567	gdna	mrna	chr3	184352479	184353037	184352666	184353037	145M222N5M	-559	255	True	False	1	1	298	3	1.0	ambig_same_strand	spliced_annot	16636	ENST00000491162.1	ENSG00000114859.16	CLCN2	mRNA CLCN2 ENST00000491162.1
chr1:254	A00839:75:H7MFFDSXY:3:1108:8576:9204	gdna	mrna	chr1	154601859	154602314	154602165	154602314	150M	-456	255	True	False	1	0	300	3	1.0	unambig	spliced_annot	254	ENST00000680270.2	ENSG00000160710.19	ADAR	mRNA ADAR ENST00000680270.2
chrX:24264	A00839:75:H7MFFDSXY:3:2106:27145:12023	gdna	nrna	chrX	109375769	109376246	109376097	109376246	150M	-478	255	True	False	1	0	298	25	1.0	ambig_same_strand	spliced_implicit	24264	RIGEL_NRNA_chrX_2_109372905_109482086	RIGEL_NRNA_chrX_2_109372905_109482086		nRNA chrX:109,372,905-109,482,086(-)
chr10:3173	A00839:75:H7MFFDSXY:3:2214:4761:31031	gdna	nrna	chr10	102869391	102869697	102869391	102869576	119M36N31M	307	255	False	True	1	0	294	25	1.0	ambig_same_strand	spliced_unannot	3173	RIGEL_NRNA_chr10_1_102854258_102901899	RIGEL_NRNA_chr10_1_102854258_102901899		nRNA chr10:102,854,258-102,901,899(+)
chr16:8529	A00839:75:H7MFFDSXY:3:1669:18629:4225	gdna	nrna	chr16	20372722	20373182	20373033	20373182	150M	-461	255	True	False	1	0	298	25	1.0	ambig_same_strand	spliced_implicit	8529	RIGEL_NRNA_chr16_2_20359174_20404737	RIGEL_NRNA_chr16_2_20359174_20404737		nRNA chr16:20,359,174-20,404,737(-)
chr11:4228	A00839:75:H7MFFDSXY:3:2627:2040:11600	gdna	nrna	chr11	65617181	65617638	65617181	65617330	150M	458	255	False	True	1	0	296	25	1.0	ambig_same_strand	spliced_implicit	4228	RIGEL_NRNA_chr11_1_65615775_65637439	RIGEL_NRNA_chr11_1_65615775_65637439		nRNA chr11:65,615,775-65,637,439(+)
chr2:12765	A00839:75:H7MFFDSXY:3:1561:32470:6151	gdna	nrna	chr2	85306158	85306633	85306158	85306307	150M	476	255	False	True	1	0	298	25	1.0	ambig_same_strand	spliced_implicit	12765	RIGEL_NRNA_chr2_1_85133391_85310387	RIGEL_NRNA_chr2_1_85133391_85310387		nRNA chr2:85,133,391-85,310,387(+)
chr3:15937	A00839:75:H7MFFDSXY:3:2358:28456:2519	gdna	nrna	chr3	52451133	52451579	52451430	52451579	150M	-447	255	True	False	1	0	298	25	1.0	ambig_same_strand	spliced_implicit	15937	RIGEL_NRNA_chr3_2_52451099_52454041	RIGEL_NRNA_chr3_2_52451099_52454041		nRNA chr3:52,451,099-52,454,041(-)
chr9:23426	A00839:75:H7MFFDSXY:3:2418:20880:1454	gdna	nrna	chr9	134317379	134317685	134317379	134317554	136M26N14M	307	255	False	True	1	0	290	25	1.0	ambig_same_strand	spliced_unannot	23426	RIGEL_NRNA_chr9_1_134317097_134406394	RIGEL_NRNA_chr9_1_134317097_134406394		nRNA chr9:134,317,097-134,406,394(+)
chr7:20499	A00839:75:H7MFFDSXY:3:1627:12292:24940	gdna	nrna	chr7	128837346	128837784	128837635	128837784	150M	-439	255	True	False	1	0	294	25	1.0	ambig_same_strand	spliced_implicit	20499	RIGEL_NRNA_chr7_1_128830405_128859274	RIGEL_NRNA_chr7_1_128830405_128859274		nRNA chr7:128,830,405-128,859,274(+)
chrX:23732	A00839:75:H7MFFDSXY:3:1405:4643:18239	gdna	mrna	chrX	41342042	41342822	41342673	41342822	150M	-781	255	True	False	1	0	300	3	1.0	unambig	spliced_annot	23732	ENST00000615742.4	ENSG00000215301.11	DDX3X	mRNA DDX3X ENST00000615742.4
chr20:14538	A00839:75:H7MFFDSXY:3:1550:11704:5102	gdna	nrna	chr20	63542163	63542607	63542163	63542312	150M	445	255	False	True	1	1	228	25	1.0	ambig_same_strand	spliced_implicit	14538	RIGEL_NRNA_chr20_2_63538488_63547749	RIGEL_NRNA_chr20_2_63538488_63547749		nRNA chr20:63,538,488-63,547,749(-)
chr1:1571	A00839:75:H7MFFDSXY:3:2475:1199:2879	gdna	nrna	chr1	156585632	156586213	156585632	156585781	150M	582	255	False	True	1	0	298	25	1.0	ambig_same_strand	spliced_implicit	1571	RIGEL_NRNA_chr1_1_156579722_156587719	RIGEL_NRNA_chr1_1_156579722_156587719		nRNA chr1:156,579,722-156,587,719(+)
chr17:9366	A00839:75:H7MFFDSXY:3:1635:8730:19147	gdna	mrna	chr17	8836437	8836794	8836571	8836794	146M74N4M	-358	255	True	False	1	0	298	3	1.0	unambig	spliced_annot	9366	ENST00000611951.4	ENSG00000276231.5	PIK3R6	mRNA PIK3R6 ENST00000611951.4
chr5:18656	A00839:75:H7MFFDSXY:3:1322:26232:31548	gdna	mrna	chr5	146878015	146878593	146878049	146878593	147M395N3M	-579	255	True	False	1	0	300	3	1.0	unambig	spliced_annot	18656	ENST00000394411.9	ENSG00000156475.19	PPP2R2B	mRNA PPP2R2B ENST00000394411.9
chr1:693	A00839:75:H7MFFDSXY:3:1245:16902:7811	gdna	mrna	chr1	43364150	43364617	43364314	43364617	147M154N3M	-468	255	True	False	1	0	300	3	1.0	unambig	spliced_annot	693	ENST00000464204.5	ENSG00000066322.15	ELOVL1	mRNA ELOVL1 ENST00000464204.5
chr11:4819	A00839:75:H7MFFDSXY:3:1658:8043:31046	gdna	mrna	chr11	126205396	126205744	126205396	126205713	144M168N6M	349	255	False	True	1	0	300	3	1.0	unambig	spliced_annot	4819	ENST00000533628.5	ENSG00000165526.9	RPUSD4	mRNA RPUSD4 ENST00000533628.5
chr17:9209	A00839:75:H7MFFDSXY:3:2604:17996:32503	gdna	mrna	chr17	1745211	1745630	1745481	1745630	150M	-420	255	True	False	1	0	300	3	1.0	ambig_same_strand	spliced_annot	9209	ENST00000450523.6	ENSG00000167711.14	SERPINF2	mRNA SERPINF2 ENST00000450523.6
chr2:12765	A00839:75:H7MFFDSXY:3:2418:30572:12414	gdna	nrna	chr2	85133768	85134234	85134085	85134234	150M	-467	255	True	False	1	0	298	25	1.0	ambig_same_strand	spliced_implicit	12765	RIGEL_NRNA_chr2_1_85133391_85310387	RIGEL_NRNA_chr2_1_85133391_85310387		nRNA chr2:85,133,391-85,310,387(+)
chr12:5877	A00839:75:H7MFFDSXY:3:1265:1542:19539	gdna	nrna	chr12	120534243	120534805	120534243	120534392	150M	563	255	False	True	1	0	295	25	1.0	ambig_opp_strand	spliced_implicit	5877	RIGEL_NRNA_chr12_1_120533479_120534836	RIGEL_NRNA_chr12_1_120533479_120534836		nRNA chr12:120,533,479-120,534,836(+)
chr9:22729	A00839:75:H7MFFDSXY:3:2271:22724:9815	gdna	nrna	chr9	35710735	35711214	35710735	35710884	150M	480	255	False	True	1	0	298	25	1.0	ambig_same_strand	spliced_implicit	22729	RIGEL_NRNA_chr9_2_35696947_35732195	RIGEL_NRNA_chr9_2_35696947_35732195		nRNA chr9:35,696,947-35,732,195(-)
chr1:752	A00839:75:H7MFFDSXY:3:2375:22119:36949	gdna	nrna	chr1	47035751	47036196	47035751	47035900	150M	446	255	False	True	1	0	294	25	1.0	ambig_same_strand	spliced_implicit	752	RIGEL_NRNA_chr1_1_47023668_47050751	RIGEL_NRNA_chr1_1_47023668_47050751		nRNA chr1:47,023,668-47,050,751(+)
chr12:4988	A00839:75:H7MFFDSXY:3:1260:29441:17221	gdna	mrna	chr12	8917724	8921043	8919827	8921043	91M1067N59M	-3320	255	True	False	1	0	299	3	1.0	unambig	spliced_annot	4988	ENST00000541181.1	ENSG00000111752.11	PHC1	mRNA PHC1 ENST00000541181.1
chr11:3614	A00839:75:H7MFFDSXY:3:2610:13476:33755	gdna	mrna	chr11	64827252	64827548	64827252	64827529	147M128N3M	297	255	False	True	1	0	300	3	1.0	unambig	spliced_annot	3614	ENST00000342711.6	ENSG00000171219.9	CDC42BPG	mRNA CDC42BPG ENST00000342711.6
chr1:1495	A00839:75:H7MFFDSXY:3:2316:1985:27571	gdna	mrna	chr1	153628145	153628860	153628711	153628860	150M	-716	255	True	False	1	0	300	3	1.0	unambig	spliced_annot	1495	ENST00000368698.3	ENSG00000160678.12	S100A1	mRNA S100A1 ENST00000368698.3
chr7:21133	A00839:75:H7MFFDSXY:3:1616:24542:14184	gdna	mrna	chr7	121329241	121329632	121329241	121329569	147M179N3M	392	255	False	True	1	0	300	3	1.0	unambig	spliced_annot	21133	ENST00000222462.3	ENSG00000002745.13	WNT16	mRNA WNT16 ENST00000222462.3
chr6:19271	A00839:75:H7MFFDSXY:3:1262:16161:19993	gdna	nrna	chr6	30345029	30345458	30345029	30345178	150M	430	255	False	True	1	0	298	25	1.0	ambig_same_strand	spliced_implicit	19271	RIGEL_NRNA_chr6_1_30328888_30346857	RIGEL_NRNA_chr6_1_30328888_30346857		nRNA chr6:30,328,888-30,346,857(+)
chrX:23836	A00839:75:H7MFFDSXY:3:1134:9652:27665	gdna	nrna	chrX	49122360	49122829	49122680	49122829	150M	-470	255	True	False	1	1	296	25	1.0	ambig_same_strand	spliced_implicit	23836	RIGEL_NRNA_chrX_2_49113406_49123735	RIGEL_NRNA_chrX_2_49113406_49123735		nRNA chrX:49,113,406-49,123,735(-)
chr9:22729	A00839:75:H7MFFDSXY:3:1317:17571:2675	gdna	nrna	chr9	35703459	35704021	35703459	35703608	150M	563	255	False	True	1	0	296	25	1.0	ambig_same_strand	spliced_implicit	22729	RIGEL_NRNA_chr9_2_35696947_35732195	RIGEL_NRNA_chr9_2_35696947_35732195		nRNA chr9:35,696,947-35,732,195(-)
chr12:5806	A00839:75:H7MFFDSXY:3:2369:27136:32675	gdna	mrna	chr12	112134727	112135072	112134924	112135072	1S149M	-346	255	True	False	1	2	293	3	1.0	ambig_same_strand	spliced_annot	5806	ENST00000548092.5	ENSG00000135148.12	TRAFD1	mRNA TRAFD1 ENST00000548092.5
chrX:23628	A00839:75:H7MFFDSXY:3:1549:11324:7983	gdna	mrna	chrX	20130595	20138599	20135753	20138599	89M2697N61M	-8005	255	True	False	1	0	305	3	1.0	unambig	spliced_annot	23628	ENST00000379607.10	ENSG00000173674.11	EIF1AX	mRNA EIF1AX ENST00000379607.10
